score,bedrijf,domein,vacature,vacature_datum,plaats,producten,markten,cs_tools,review_tools,reviewscore,reviewoordeel,openingstijden,reactiebelofte,email,telefoon,kvk,postcode,signalen,vacature_url,klasse,klassereden
4,Doczero,doczero.com,Full Stack Developer,2026-09-21,Veghel,,,hubspot,,,,,binnen 24 uur,support@doczero.com,0134378997,17145850,5466 SB,woocommerce; betaalt voor hubspot; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/full-stack-developer-at-doczero-4469865358,AF,software
4,Dwelly,dwelly.nl,CRM &amp; Email Marketing Manager,2026-08-15,Nederland,177,4,,judgeme,,,,,hello@dwelly.nl,,,,Shopify; 177 artikelen; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/crm-email-marketing-manager-at-dwelly-4465316586,A,
4,Evernex,evernex.com,Warehouse Operations Specialist - Uithoorn,2026-09-17,Uithoorn,,10,hubspot,,,,,,support@evernex.com,0 800 282 5744,,,woocommerce; betaalt voor hubspot; 10 markten,https://nl.linkedin.com/jobs/view/warehouse-operations-specialist-uithoorn-at-evernex-4459342708,AF,IT-dienstverlener
4,Greetz,greetz.nl,Brand &amp; Campaign Marketer (Dutch &amp; English Speaking),2026-09-07,Almere,,,intercom|hubspot,trustpilot,,,,,,,,,betaalt voor intercom/hubspot; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/brand-campaign-marketer-dutch-english-speaking-at-greetz-4453466063,A,
4,NIBHV,nibhv.nl,Medewerker Verkoop &amp; Advies,2026-07-25,Rotterdam,,,hubspot,,,,ma-vr van 09:00 - 17:00,,info@nibhv.nl,+31 10 289 28 88,,3067 GJ,woocommerce; betaalt voor hubspot; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/medewerker-verkoop-advies-at-nibhv-4440532018,AF,opleidingsinstituut
4,The Branding Club,thebrandingclub.com,Medior Accountmanager,2026-08-09,Utrecht,,4,hubspot,,4.9,sterk,,,,+31 6 289 00 64,,,Shopify; betaalt voor hubspot; b2b naast d2c,https://nl.linkedin.com/jobs/view/medior-accountmanager-at-the-branding-club-4450977452,AF,bureau
4,Vulcor Insulation,vulcor.com,Commercieel Medewerker Binnendienst | Sales &amp; Customer Service,2026-09-15,Heteren,,,,,,,,,sales.support@vulcor.com,,,6666 MG,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden; zoekt klantcontact: Commercieel Medewerker Binnendienst | Sa; vacature staat nog open,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-sales-customer-service-at-vulcor-insulation-4467724111,AF,industrie b2b
3,Foxelli Group,foxelli.com,Email Marketing Specialist| DTC E-commerce | 100% Remote EU,2026-07-31,Amsterdam Area,61,,,loox,,,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/email-marketing-specialist-dtc-e-commerce-100%25-remote-eu-at-foxelli-group-4447525692,A,
3,Joerns Healthcare bv,joerns.nl,Klantadviseur Zorghulpmiddelen,2026-09-14,Houten,,,,,,,,,chris.kloen@joerns.nl,0007078251,34263175,3991 CT,woocommerce; te weinig volumebewijs voor de band; zoekt klantcontact: Klantadviseur Zorghulpmiddelen; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantadviseur-zorghulpmiddelen-at-joerns-healthcare-bv-4467060921,AF,medisch b2b
3,Sanbio B.V.,sanbio.nl,Medewerker Binnendienst,2026-09-10,Uden,,,hubspot,,,,,,support@sanbio.nl,,,5405 PB,magento; betaalt voor hubspot; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/medewerker-binnendienst-at-sanbio-b-v-4465609918,AF,medisch b2b
3,Sunware,sunware.com,Marketplace Specialist (32 - 40 uur),2026-09-14,Tilburg,,5,,trustpilot,,,maandag t/m vrijdag telefonisch bereikbaar van 09:00 tot 17:00,,klantenservice@sunware.nl,,18021519,5047 TR,eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketplace-specialist-32-40-uur-at-sunware-4467048859,AF,industrie
3,Itility,itility.nl,Technical Content Specialist,2026-09-16,Eindhoven,,2,hubspot,,,,,,,,,5657 EW,woocommerce; betaalt voor hubspot; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/technical-content-specialist-at-itility-4449007948,AF,IT-dienstverlener
3,Vedder & Vedder,vedder-vedder.nl,E-Commerce Merchandiser,2026-09-20,Amsterdam,,4,,trustedshops,,,,,,,,,Shopify; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/e-commerce-merchandiser-at-vedder-vedder-4467318309,A,
3,De Variabele,devariabele.nl,Asbestverwijderaar,2026-09-04,Nijmegen,,,chatgpt-bot,,,,,,info@devariabele.nl,,,7005 AP,woocommerce; betaalt voor chatgpt-bot; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/asbestverwijderaar-at-de-variabele-4415921427,AF,asbestverwijdering
3,ETC Nederland,etc-shop.nl,Logistiek medewerker,2026-09-09,Almelo,,8,,,,,,binnen 24 uur,,,,,8 markten; belofte: binnen 24 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-etc-nederland-4465066024,AF,twijfel
3,Winparts,winparts.be,CRM Specialist,2026-09-15,Groningen,,8,,kiyoh,,,ma t/m vr 9:00-21:00,,,,,6718XP,8 markten; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/crm-specialist-at-winparts-4467718687,AF,onderdelenreseller
2,Jansen Totaal Wonen,jansentotaalwonen.nl,Orderverwerker keukens,2026-06-02,Huissen,,,whatsapp,feedbackcompany,,,Ma 13.00 - 17.30,,info@jansentotaalwonen.nl,026-3269900,09046110,6851 DG,eigen reviewplatform; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/orderverwerker-keukens-at-jansen-totaal-wonen-b-v-4422362748,AF,woonwinkel met filialen
2,Joybuy,joybuy.nl,Category Manager-3C,2026-08-31,Rotterdam,,,zendesk,,,,,,,,,1071CJ,betaalt voor zendesk; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/category-manager-3c-at-joybuy-4459217559,AF,marktplaats
2,one2track B.V.,one2track.nl,Digital Marketeer Duitsland,2026-09-22,Noordwijkerhout,,2,,kiyoh,9.2,sterk,,binnen 24 uur,,0252503737,75199335,2211 JT,eigen reviewplatform; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/digital-marketeer-duitsland-at-one2track-b-v-4470416560,AF,"twijfel, klein"
2,De Koffiejongens,dekoffiejongens.nl,Performance Marketing &amp; Data Specialist,2026-06-22,Amsterdam Area,,,,trustedshops,4.8,sterk,maandag t/m zaterdag tussen 10.00 en 17.00,,info@dekoffiejongens.nl,+31 6 182 10 39,,1401 AB,eigen reviewplatform; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/performance-marketing-data-specialist-at-de-koffiejongens-4431711553,AF,"twijfel, klein"
2,Hooks Creative,hooks-creative.com,Medior Marketing Manager,2026-09-14,Haarlem,,,hubspot,,,,,,info@hooks-creative.com,+31232100181,,,woocommerce; betaalt voor hubspot,https://nl.linkedin.com/jobs/view/medior-marketing-manager-at-hooks-creative-4467027704,AF,bureau
2,LMW,mooiedomeinnaam.nl,Medewerker Support,2026-07-10,Breukelen,,,whatsapp,,,,,,,088-8777555,,3353HC,te weinig volumebewijs voor de band; zoekt klantcontact: Medewerker Support; vacature staat nog open,https://nl.linkedin.com/jobs/view/medewerker-support-at-lmw-4439020724,AF,onduidelijk
2,Probo.nl,probo.nl,Productiemedewerker,2026-08-20,Dokkum,,,trengo,,,,maandag tot en met vrijdag van 08:00 tot 21.30,,stop@hammer.time,+31 88 022 32 00,,,magento; betaalt voor trengo,https://nl.linkedin.com/jobs/view/productiemedewerker-at-probo-nl-4456771854,AF,b2b drukwerk
2,Sam Friday,samfriday.com,Marketingmanager,2026-08-03,Amsterdam,,,hubspot,,,,,,,,,,betaalt voor hubspot; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketingmanager-at-sam-friday-2438183638,AF,onduidelijk
2,The Neon Company,theneoncompany.nl,Inside Sales Medewerker - Commerciële Binnendienst | €2.500–€3.200 + performance bonus.,2026-08-20,Vianen,,16,,,,,,,,+31 30 207 24 67,,4131NR,woocommerce; 16 markten,https://nl.linkedin.com/jobs/view/inside-sales-medewerker-commerci%C3%ABle-binnendienst-%E2%82%AC2-500%E2%80%93%E2%82%AC3-200-%2B-performance-bonus-at-the-neon-company-4456719593,AF,b2b
1,HabitasConnects,habitasconnects.nl,Senior E-commerce &amp; Marketplace Medewerker | 24-32 uur | Oud-Beijerland,2026-09-14,Oud-Beijerland,,,,kiyoh,,,,,,,,3261LT,eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/senior-e-commerce-marketplace-medewerker-24-32-uur-oud-beijerland-at-habitasconnects-4465220223,AF,dienstverlener
1,Inktweb.nl,inktweb.nl,Customer Support,2026-08-07,Alkmaar,,3,,feedbackcompany,4.4,sterk,,,,,,1821 BT,eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/customer-support-at-inktweb-nl-4450703072,A,
1,Interieurwereld van de Belt,interieurwereld.nl,Verkoopmedewerker diverse afdelingen,2026-09-21,Meppel,,,whatsapp,feedbackcompany,,,Ma Di Wo Do Vr Za Zo 13:00 - 18:00,,,088 111 0580,04032571,7949AR,magento; eigen reviewplatform,https://nl.linkedin.com/jobs/view/verkoopmedewerker-diverse-afdelingen-at-interieurwereld-van-de-belt-4468770119,A,
1,Rotom Nederland B.V.,rotom.nl,Customer Service Medewerker Webshop,2026-04-07,Eerbeek,,,,,,,,,info@rotom.nl,0121 747 7766,,6699FF,magento; te weinig volumebewijs voor de band; zoekt klantcontact: Customer Service Medewerker Webshop,https://nl.linkedin.com/jobs/view/customer-service-medewerker-webshop-at-rotom-nederland-b-v-4395476141,AF,b2b verpakkingen
1,MARC INBANE® Official,marcinbane.com,E-commerce Manager,2026-08-24,Tilburg,,,,trustpilot,,,,,netherlands@marcinbane.com,0136142230,55513603,5048 AA,eigen reviewplatform; b2b naast d2c,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-marc-inbane-b-v-4456893823,A,
1,Van Leersum Dranken,vanleersumdranken.nl,Magazijnmedewerker in Den Haag,2026-05-26,Den Haag,,,,,,,maandag t/m donderdag 08:30-17:30,,info@vanleersumdranken.nl,070 355 06 93,,2491 DK,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond; vierdaagse week,https://nl.linkedin.com/jobs/view/magazijnmedewerker-in-den-haag-at-van-leersum-dranken-4419197455,A,
1,Worldstream - Solid IT. No Surprises.,worldstream.com,TechCare Engineer,2026-08-04,Naaldwijk,,,freshdesk,,,,,,sales@worldstream.com,0168076144,,,betaalt voor freshdesk,https://nl.linkedin.com/jobs/view/techcare-engineer-at-worldstream-solid-it-no-surprises-4460827507,AF,hosting
0,Cable Partners B.V.,cablepartners.nl,Ervaren medewerker verkoop binnendienst,2026-08-04,Roosendaal,,,,,,,Maandag 08:00 - 17:30,,,,24255726,4704 SV,magento; te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/ervaren-medewerker-verkoop-binnendienst-at-cable-partners-b-v-4448300405,AF,b2b
0,VCM Medical,vcmmedical.eu,ICT/Service technicus Medisch,2026-09-13,Leusden,,,,,,,Maandag t/m Vrijdag: 08:30 - 17:00,,info@vcmmedical.nl,,,3833GN,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond; geen telefoonlijn gevonden,,AF,medisch b2b
-1,Maiburg,maiburg.nl,Online Performance Marketeer,2026-08-26,Waalwijk,,,,,,,Maandag t/m donderdag 08.00 uur tot 17.30,,,003625709,,,te weinig volumebewijs voor de band; desk dicht voor de avond; vierdaagse week,https://nl.linkedin.com/jobs/view/online-performance-marketeer-at-maiburg-4459308136,AF,"score onder nul, geen D2C-bewijs"
-1,Outdoor Gigant,outdoorgigant.nl,SEO &amp; Performance Marketeer (fulltime),2026-09-01,Nijverdal,,,,,4.7,sterk,Maandag 08:00 - 17:00,,info@outdoorgigant.nl,,71297839,7442 PC,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/seo-performance-marketeer-fulltime-at-outdoor-gigant-4459541838,AF,"score onder nul, geen D2C-bewijs"
-1,HBM Machines B.V.,hbmmachinesnl.com,Domein Lead Product to Market (32 - 40 uur),2026-09-03,Waddinxveen,,,,,,,,binnen 72 uur,,,,5506BD,woocommerce; te weinig volumebewijs voor de band; belofte: binnen 72 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/domein-lead-product-to-market-32-40-uur-at-hbm-machines-b-v-4461712718,AF,"score onder nul, geen D2C-bewijs"
-1,VTS Track Solutions,vtstracksolutions.com,Commercieel medewerker binnendienst,2026-08-24,Maarheeze,,5,,,,,Maandag t/m vrijdag: 08:00 -17:30,,sales@vtstracksolutions.com,,17217384,6026RB,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vts-track-solutions-4443233675,AF,"score onder nul, geen D2C-bewijs"
-1,Willem Dijk AGF,willemdijk.nl,Loodsmedewerker,2026-04-09,Enschede,,4,,,,,Ma-Vr - 07:00-17:00,,info@willemdijk.nl,06-2266322,,7547 SJ,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/loodsmedewerker-at-willem-dijk-agf-4399861654,AF,"score onder nul, geen D2C-bewijs"
-2,Commaxx Group,commaxxgroup.com,ONLINE MARKETEER (WEBSHOP SPECIALIST) - COMMAXX KERKRADE,2026-08-05,Kerkrade,,4,,,,,,,sales@commaxxgroup.com,,,6466 NG,Shopify; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/online-marketeer-webshop-specialist-commaxx-kerkrade-at-commaxx-group-4449483048,AF,"score onder nul, geen D2C-bewijs"
-2,Zorg+Welzijn,zorgwelzijn.nl,Huiskamer medewerker | PG,2026-07-24,Hilversum,,,,,,,ma-vr tussen 08.30 en 17.00,,klantenservice@bsl.nl,030-638 3736,,3584 BW,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/huiskamer-medewerker-pg-at-zorg%2Bwelzijn-4444975815,AF,"score onder nul, geen D2C-bewijs"
-2,FLÂNEUR,flneur.com,Operations Lead,2026-07-06,Amsterdam,,,,,,,,,,,,,Shopify; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/operations-lead-at-fl%C3%A2neur-4437472534,AF,"score onder nul, geen D2C-bewijs"
-2,VELORETTI,veloretti.com,Product Owner Core Systems,2026-07-22,Amsterdam,,,,,,,,,,,,,Shopify; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/product-owner-core-systems-at-veloretti-4443115017,AF,"score onder nul, geen D2C-bewijs"
-2,Capestone,capestone.com,Verkoopondersteuning,2026-09-17,Leiden,,4,,,,,maandag t/m vrijdag telefonisch bereikbaar tussen 8.30 en 17.30,,sales@capestone.com,+31 85 111 0838,17252210,2314 XP,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/verkoopondersteuning-at-capestone-989989,AF,"score onder nul, geen D2C-bewijs"
-2,Intratuin,intratuin.nl,Magazijn medewerker 38 uur,2026-09-09,Emmeloord,,1,,,,,maandag tot en met vrijdag tussen 09:00 en 17:00,,,088 030 8781,,3447 GG,magento; te weinig volumebewijs voor de band; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/magazijn-medewerker-38-uur-at-intratuin-4462556555,AF,"score onder nul, geen D2C-bewijs"
-2,Lasaulec BV,lasaulec.nl,Commercieel Medewerker Binnendienst,2026-08-31,Almere,,,,,,,Maandag t/m vrijdag van 8:00 uur tot 17:00,,klantenservice@lasaulec.nl,007369633,,,te weinig volumebewijs voor de band; b2b naast d2c; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-lasaulec-bv-4460058994,AF,"score onder nul, geen D2C-bewijs"
-2,Swap,swap.nl,Director of Product,2026-09-11,Amsterdam,,,,,,,Ma-Vrij: 9:00 – 17:00,,,+31 85 401 00 01,,9351VA,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/director-of-product-at-swap-4437035911,AF,"score onder nul, geen D2C-bewijs"
-2,Veris Bouwmaterialengroep BV,veris.nl,Directeur inkoop,2026-09-21,Gorinchem,,,,,,,,,info@veris.nl,,30219442,4202 MS,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/directeur-inkoop-at-veris-bouwmaterialengroep-bv-4469961717,AF,"score onder nul, geen D2C-bewijs"
-3,Fresh People,freshpeople.nl,online merchandiser,2026-08-31,Zaandam,,,,,,,,,info@freshpeople.nl,,,1054 LH,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/online-merchandiser-at-fresh-people-4461205780,AF,"score onder nul, geen D2C-bewijs"
-3,LifeGoods Group,lifegoods.nl,Marketplace Manager Bol,2026-09-08,Almere,,,,,8.7,sterk,,,,,,,shopware; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketplace-manager-bol-at-lifegoods-group-4464466402,AF,"score onder nul, geen D2C-bewijs"
-3,Nieuwenhuijse Groep,nieuwenhuijse.nl,Medewerker Verkoopadministratie bij Nieuwenhuijse (M/V),2026-07-17,Apeldoorn,,,,,9,sterk,,,webshop@nieuwenhuijse.nl,,,7007 CL,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/medewerker-verkoopadministratie-bij-nieuwenhuijse-m-v-at-nieuwenhuijse-bv-4441977615,AF,"score onder nul, geen D2C-bewijs"
-3,Viking Europe,viking-europe.com,Local Commercial Web Manager NLD,2026-09-16,Venlo,,,,,,,,,,,,,magento; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/local-commercial-web-manager-nld-at-viking-europe-4468262157,AF,"score onder nul, geen D2C-bewijs"
-3,MOLANO,molano.nl,Magazijnmedewerker,2026-09-21,Haarlem,,4,,,,,,,,,,,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-molano-4469906009,AF,"score onder nul, geen D2C-bewijs"
-3,Schoonderwoerd Vlees,schoonderwoerdvlees.nl,Magazijnmedewerker,2024-12-05,De Bilt,,4,,,,,,,info@schoonderwoerdvlees.nl,,,3721 TK,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/magazijnmedewerker-at-schoonderwoerd-vlees-4091409238,AF,"score onder nul, geen D2C-bewijs"
-3,terStal,terstal.nl,E-Commerce Manager,2026-07-30,Almelo,,,,,,,,,,,,,magento; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-terstal-4447081089,AF,"score onder nul, geen D2C-bewijs"
-3,Actief Select,actiefselect.com,Teamleider Customer Service &amp; Administratie,2026-09-15,Rotterdam,,,,,,,,,,,,3218 TA,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/teamleider-customer-service-administratie-at-actief-select-4467708868,AF,"score onder nul, geen D2C-bewijs"
-3,BRAND VAN EGMOND,brandvanegmond.com,Marketing Communications Manager,2026-07-29,Naarden,,2,,,,,,,info@brandvanegmond.com,,,1411 AH,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketing-communications-manager-at-brand-van-egmond-4443687519,AF,"score onder nul, geen D2C-bewijs"
-3,Connect-D,connectd.nl,Accountmanager,2026-09-22,Rotterdam,,,,,,,,,,,,,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/accountmanager-at-connect-d-4468916109,AF,"score onder nul, geen D2C-bewijs"
-3,Craftr,craftr.nl,Relatiebeheerder,2026-09-15,"Gelderland, Nederland",,,whatsapp,,,,,,jorn@craftr.nl,,,3812 RH,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/relatiebeheerder-at-craftr-4467723241,AF,"score onder nul, geen D2C-bewijs"
-3,Koninklijke Ruig,ruig.nl,Productie Werkvoorbereider Assistent,2024-08-20,Oostzaan,,,,,,,,,,,34231436,1511 GE,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/productie-werkvoorbereider-assistent-at-koninklijke-ruig-4005851388,AF,"score onder nul, geen D2C-bewijs"
-3,Philips,philips.nl,Logistiek Medewerker &amp; Warehouse Coördinator 7T MR,2026-09-02,Best,,,,,,,,,,,,,te weinig volumebewijs voor de band; b2b naast d2c; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/logistiek-medewerker-warehouse-co%C3%B6rdinator-7t-mr-at-philips-4460983149,AF,"score onder nul, geen D2C-bewijs"
-3,Spring Professional Belgium,springprofessional.be,Custmer Care FR/NL,2026-09-11,"Brussel, Brussels Hoofdstedelijk Gewest, België",,,,,,,,,hello@springprofessional.be,,,,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://be.linkedin.com/jobs/view/custmer-care-fr-nl-at-spring-professional-belgium-4466082341,AF,"score onder nul, geen D2C-bewijs"
-3,Vernay,vernay.com,Shift Manager,2026-03-26,Oldenzaal,,,,,,,,,,,,1863DC,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/shift-manager-at-vernay-4391383581,AF,"score onder nul, geen D2C-bewijs"
-3,Visser & Visser BV,visservisser.nl,Inkoper,2026-09-07,Breda,,,,,,,,,,,,3131KX,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/inkoper-at-visser-breda-4462936534,AF,"score onder nul, geen D2C-bewijs"
-3,Westfalen Medical BV,westfalenmedical.com,Medewerker logistiek (40 uren/ week),2026-08-28,Deventer,,1,,,,,maandag t/m vrijdag 08.00 – 18.00,,info@westfalenmedical.nl,,52789055,7418 EW,woocommerce; te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/medewerker-logistiek-40-uren-week-at-westfalen-medical-bv-4460349078,AF,"score onder nul, geen D2C-bewijs"
-3,Wielervoeding.nl,wielervoeding.nl,Allround Medewerker bij Wielervoeding.nl - Veghel,2026-08-04,Uden-Veghel en omgeving,,,whatsapp,,,,,binnen 24 uur,info@wielervoeding.nl,041442697,73775398,2000 AA,te weinig volumebewijs voor de band; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/allround-medewerker-bij-wielervoeding-nl-veghel-at-wielervoeding-nl-4449083338,AF,"score onder nul, geen D2C-bewijs"
-4,BAIYILED EUROPE B.V.,baiyiled.nl,Technisch Commercieel Medewerker Binnendienst &amp; Operations.,2026-08-21,Almere,,3,,,,,,,info@baiyiled.nl,036 785 0321,52628914,1322AH,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/technisch-commercieel-medewerker-binnendienst-operations-at-baiyiled-europe-b-v-4457078701,AF,"score onder nul, geen D2C-bewijs"
-4,Termeer Groep,mooiedomeinnaam.nl,Webshopmedewerker (maandag),2026-09-16,Tilburg,,,whatsapp,,,,,,,,,3353HC,te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/webshopmedewerker-maandag-at-termeer-groep-4371879320,AF,"score onder nul, geen D2C-bewijs"
-4,WestCord Hotels,westcordhotels.nl,Medewerker Bediening Fulltime,2026-09-14,Groningen,,4,,,,,,,info@westcordhotels.nl,007319411,,,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/medewerker-bediening-fulltime-at-westcord-hotels-4464799747,AF,"score onder nul, geen D2C-bewijs"
-4,Broekhuis,broekhuis.nl,Online Marketeer,2026-07-15,Putten,,,whatsapp,,4.5,sterk,,,,,,,te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/online-marketeer-at-broekhuis-groep-4439267068,AF,"score onder nul, geen D2C-bewijs"
-4,Foot Locker,footlocker.nl,"Associate Manager, Copy",2026-09-18,Utrecht,,,,,,,,,,,,,te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/associate-manager-copy-at-foot-locker-4466689697,AF,"score onder nul, geen D2C-bewijs"
-4,Amazon,amazon.be,"Selling Partner Support Associate — Korean Speaker, Selling Partner Support",2026-09-18,Middelburg,,2,,,,,,,info@amazon.be,0 0007 1155,,,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/selling-partner-support-associate-%E2%80%94-korean-speaker-selling-partner-support-at-amazon-4469141601,AF,"score onder nul, geen D2C-bewijs"
-4,ClockWise,clockwise.nl,Tech Lead | SaaS | PHP/Svelte | Amsterdam | tot 90K,2026-09-07,Amsterdam-Noord,,,,,,,,,info@clockwise.nl,001563514,24229830,3221 AV,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/tech-lead-saas-php-svelte-amsterdam-tot-90k-at-clockwise-4462936672,AF,"score onder nul, geen D2C-bewijs"
-4,Dometic,dometic.com,Customer Service - Tents,2026-09-01,Oosterhout,,,,,,,,,,,,,te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/customer-service-tents-at-dometic-4429977053,AF,"score onder nul, geen D2C-bewijs"
-4,Flextender,flextender.nl,Relatiemanager,2026-09-21,Eemnes,,,,,,,,,info@flextender.nl,+31 3575 1077,,3755 EZ,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/relatiemanager-at-flextender-4469892063,AF,"score onder nul, geen D2C-bewijs"
-4,Lavastica International B.V.,lavastica.com,Vertegenwoordiger binnendienst,2026-08-11,Rotterdam,,,,,,,,,info@lavastica.com,05055660053,,3047 AT,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/vertegenwoordiger-binnendienst-at-lavastica-international-b-v-4430922775,AF,"score onder nul, geen D2C-bewijs"
-4,Movares,movares.com,Projectleider Bodem,2026-09-04,Raalte,,,,,,,,,info@movares.nl,088 204 4500,,1058 EA,woocommerce; te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/projectleider-bodem-at-movares-4443877708,AF,"score onder nul, geen D2C-bewijs"
-4,Piaggio Vespa B.V.,piaggio-vespa.nl,Marketingmanager,2026-08-28,Breda,,2,,,,,,,,,,,te weinig volumebewijs voor de band; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketingmanager-at-piaggio-vespa-b-v-4460190990,AF,"score onder nul, geen D2C-bewijs"
-5,VINVIN Wines,vinvinwines.nl,Commercieel medewerker binnendienst,2026-09-17,Rotterdam,,,whatsapp,,,,,,,+31 10 2183800,78220300,3047 BB,te weinig volumebewijs voor de band,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vinvin-wines-4468693688,AF,"score onder nul, geen D2C-bewijs"
