bedrijf,domein,plaats,naam,rol,bron,status,notitie
Pink Gellac,pinkgellac.com,,Thera Strietman,CEO,MT/Sprout + Top of Minds + Vendis Capital,GEVERIFIEERD,"Hilversum, D2C gellak, Vendis Capital meerderheid sinds 2021"
Zens,zens.tech,,Johan Plasmans,CEO en mede-oprichter,MT/Sprout Challenger50 + IO+ awards,GEVERIFIEERD,"High Tech Campus Eindhoven, sinds 2011, broer Erik erbij"
Trendhopper,trendhopper.nl,,,,,AF,"buiten ICP: franchiseformule onder VME, geen eigen klantenservice"
Magnetic Nail Design,magneticnaildesign.com,,Mey Liang,oprichter,eigen pagina over-magnetic + Scratch Magazine 'Behind the Brand: Magnetic Nail Design',GEVERIFIEERD,"5.000 producten, productie in Nederland, ISO 22716"
Mitari,mitari.nl,,,,,AF,"buiten ICP: hijstechniek voor de industrie, B2B"
Dutchies,dutchies.com,,Anne de Korte,oprichter,Emerce-interview + Andy Vinkenborg + eigen our-story,GEVERIFIEERD,"leren telefoonhoesjes, omzet circa 8 mln, PayPal Beste Starter"
Gold Rush,gold-rush.com,,,,,AF,"buiten ICP: goudinkoop, geen productwebshop"
Pylos 59,pylos59.eu,,Monic Besemer,mede-oprichter,casepagina Opklopper + Van Os tassen + eigen merkverhaal,GEVERIFIEERD,"samen met Frits Besemer, leren tassen, B Corp sinds oktober 2023, 30 jaar familiebedrijf"
Fabric and Stitches,fabricandstitches.com,,,,,AF,"te klein voor het ICP: 12 artikelen, haalt de 100 tickets per week niet"
Gintonic,gintonic.nl,,,,,AF,"te klein voor het ICP: 52 artikelen, haalt de 100 tickets per week niet"
Rum Baba,rumbaba.nl,,Lusan Drost,mede-eigenaar,"Sprudge + Mister Barish + handelsregister (Drost, M.)",GEVERIFIEERD,"samen met oprichter Jeroen Keizer, koffiebranderij en bakkerij Amsterdam Oost"
Fucking Strong Coffee,fuckingstrongcoffee.nl,,,,,AF,"te klein voor het ICP: 18 artikelen, haalt de 100 tickets per week niet"
Kerstpakket.nl,kerstpakket.nl,,,,,AF,"buiten ICP: zakelijke geschenkpakketten, B2B"
Message in a Bottle,messageinabottle.eu,,,,,AF,"te klein voor het ICP: 25 artikelen, haalt de 100 tickets per week niet"
Gebruikt Speelgoed,gebruiktspeelgoed.nl,,Corne,projectleider,De Stadskoerier + Brugnieuws,DEELS,"alleen voornaam. Sociale onderneming met zorginstelling 't Kastheel, Genemuiden"
Inferno Cooking,infernocooking.com,,,,,AF,"valt onder Fyron Group, net als het al uitgesloten Barbecook en OFYR"
Case of Leila,caseofleila.com,,,,,AF,"te klein voor het ICP: 6 artikelen, haalt de 100 tickets per week niet"
Willem Dijk AGF,willemdijk.nl,,,,,AF,"buiten ICP: AGF-groothandel, B2B"
Van Buuren,van-buuren.com,,,,,AF,"buiten ICP: groothandel gereedschap en bouwbeslag, B2B"
Ter Huurne Holland Markt,terhuurne.nl,,Gerard van den Tweel,eigenaar,FD + Van den Tweel Groep + eigen informatiepagina,AF,"buiten ICP: winkelcentrum met 230 medewerkers, geen D2C-merk"
Ridemeister,ridemeister.cc,,,,,AF,"boekingsplatform voor fietstochten met oud-profs, geen productwebshop en dus geen ticketvolume uit bestellingen"
Pure Paws,purepaws.nl,,Margriet,mede-oprichter,eigen over-ons,DEELS,"samen met Mathias, achternamen niet publiek. Supplementen voor honden"
Verdouw,verdouw.nu,,,,,AF,"buiten ICP: bouwmaterialengroothandel, B2B"
Kunstgrasnet,kunstgrasnet.nl,,Arthur Voorhuis,CEO,eigen over-ons + Stagemarkt-profiel Floornet BV,GEVERIFIEERD,"Floornet B.V., Sisalstraat 75 Genemuiden, familiebedrijf sinds 2001, grootste kunstgrasleverancier Benelux"
Tuinmeubelshop,tuinmeubelshop.nl,,Gerrit van der Garde,mede-oprichter,RetailTrends + LinkedIn + eigen geschiedenispagina,GEVERIFIEERD,"familiebedrijf Van der Garde uit Veenendaal, Experience Stores plus webshop"
Haibu,haibu.nl,,,,,AF,"buiten ICP: kappersgroothandel, B2B"
B Food,bfood.net,,,,,AF,"cateringbedrijf in Brussel (congrescentrum The Egg), geen D2C-webshop"
We Love The Planet,welovetheplanet.com,,Eva Klomp,oprichter,Ecolive + Natuurlijk Zuiver + LinkedIn,GEVERIFIEERD,"natuurlijke deodorant sinds 2016, productie in Nederland, 6 medewerkers"
Ranzijn,ranzijn.nl,,,,,AF,"16 fysieke winkels met dierenarts, trimsalon en hondenschool. Winkelketen, geen D2C-merk, zelfde reden als Ter Huurne"
Drank.nl,drank.nl,,,,,OPEN,
Dorstlust,dorstlust.nl,,Sebastian Kolstee,partner,Wanderlust-blog + Biojournaal jubileumbericht,DEELS,"oprichters Stephan en Tessa stapten in augustus 2023 terug. Amsterdam, frisdrankwinkel de Drankerij"
Fullcartuning,fullcartuning.nl,,,,,OPEN,"Koperslager 29 Nijkerk, KVK 42055284, eenmanszaak. Geen naam publiek"
Mobico,mobico.nl,Amersfoort,,,,OPEN,
Quipa.nl,quipa.nl,Venlo,,,,OPEN,
WeLoveCosmetics,welovecosmetics.nl,Rotterdam,,,,OPEN,
MRS BEE fine jewelry,mrsbee.nl,Duiven,,,,OPEN,
MisterMitch.nl,mistermitch.nl,Emmen,,,,OPEN,
Dutch Soap Company,dutchsoapcompany.com,Zierikzee,Dorianne Kalverboer-Clouvel,oprichter en eigenaar,Op Schouwen-Duiveland-verhaal + eigen wie-zijn-wij,GEVERIFIEERD,"sinds 2015, samen met man Rene, Havenplein 20 Zierikzee, handgemaakte zeep"
Drent & van Dijk Shop,drentenvandijkshop.nl,Dokkum,Martin van Dijk,eigenaar,RTV NOF-reportage + Stagemarkt + eigen over-ons,GEVERIFIEERD,"familiebedrijf met moeder Anita Drent, showroom Betterwird Dokkum"
Nice thingZ,nicethingz.nl,Zaandam,,,,OPEN,
Drogist Wereld,drogistwereld.nl,Nijmegen,,,,OPEN,
HorlogeBoetiek,horlogeboetiek.nl,Rotterdam,Coenradus van der Heyde,algemeen directeur,"handelsregister, in functie sinds 19 april 2018",DEELS,"naam uit het register, informele voornaam nog nakijken. Tollensstraat 46C Rotterdam"
Daglief.nl,daglief.nl,Zeist,,,,OPEN,
Bridgeshop.nl,bridgeshop.nl,UTRECHT,,,,OPEN,
Womanizer.nl,womanizer.nl,Oegstgeest,,,,DEELS,"klantreviews noemen een eigenaar Otto, achternaam onbekend. Oegstgeest, ook MissSteel.nl"
Bak & Co,bakenco.nl,Utrecht,,,,OPEN,
Salontopper.nl,salontopper.nl,Varsseveld,Luc,betrokken bij Trading Toppers,RetailTrends + tradingtoppers.nl,DEELS,"alleen voornaam, rol onbevestigd. Trading Toppers B.V. sinds 2010, ook Salontotal en Salonline"
Zwembadstore.com,zwembadstore.com,Hoogezand,,,,OPEN,
SteamOne,steam-one.nl,Zwolle,,,,OPEN,"Nederlandse entiteit is Innovational B.V. in Zwolle. Merk komt van Olivier en David Gabison in Parijs, NL-verantwoordelijke nog onbekend"
Dehangmat.nl,dehangmat.nl,Dedemsvaart,Kees van Dijk,eigenaar,Regio Hardenberg-portret over Tropilex + eigen over-ons,GEVERIFIEERD,"Tropilex B.V., Fahrenheitstraat 5 Dedemsvaart, hangmatten sinds 2003, ook HangmatGigant"
Acid Vendetta,acidvendetta.nl,Schildwolde,,,,OPEN,
Babypark,babypark.nl,KESTEREN,,,,AF,"te groot voor het ICP: circa 500 medewerkers, 10 megastores, 81.000 m2 winkelvloer"
zilver.nl,zilver.nl,Broek in Waterland,Michel de Jonge,eigenaar,eigen over-ons + eigen blog over de winkel,GEVERIFIEERD,"samen met Ursula Boonstra de Jonge, Old Memories juwelier sinds 1991, Broek in Waterland"
Motorkledingstore.nl,motorkledingstore.nl,Breda,Frans Overberg,oprichter,MotoPlus-portret + handelsregister,GEVERIFIEERD,"samen met compagnon Jos Hageman, winkels in Breda en Eindhoven plus webshop"
parfumservice.nl,parfumservice.nl,alphen aan den rijn,,,,OPEN,
OnsMagazijn.nl,onsmagazijn.nl,Nieuw-Vennep,,,,OPEN,
tapijtenkelim.nl,tapijtenkelim.nl,Gouda,,,,OPEN,
Sunwarrior Nederland,sunwarriornederland.nl,Mijdrecht,,,,OPEN,
Handzender.nl,handzender.nl,Lelystad,,,,OPEN,
Hekwerk Direct,hekwerkdirect.nl,EINDHOVEN,,,,OPEN,
Heuts.nl,heuts.nl,Veghel,Jeroen van Uden,eigenaar,Twinkle april 2025 over de overname + Toppy,GEVERIFIEERD,"Heuts Leisure is overgenomen door Leuke Dingen Doen BV (Toppy), De Kempkens 2100 Veghel"
Letsleds,letsleds.nl,Zeeland,Jens van den Wijngaard,algemeen directeur,Festilent-portret + handelsregister + LinkedIn,GEVERIFIEERD,"samen met vader Stef van den Wijngaard, Palenrij 4 Zeeland, sinds 2011"
Ada Store,adastore.nl,Eindhoven,,,,OPEN,
123 3D B.V.,123-3d.nl,Nederhorst den Berg,Gerben Kreuning,directeur,Emerce + Twinkle-coverinterview + Wikipedia 123inkt,GEVERIFIEERD,"123-3D is in 2014 gestart door 123inkt, Nieuw Walden 56 Nederhorst den Berg"
NEBO de fotospecialist B.V.,neboweb.nl,Den Haag,,,,DEELS,"familiebedrijf Van den Boogaardt, vijfde generatie actief. Huidige naam niet publiek"
Little Grove,little-grove.eu,Zaltbommel,,,,OPEN,
Bodyfashion Lingerie Born,bodyfashion-born.nl,BORN,,,,OPEN,
Recarfix,recarfix.com,Haarlem,,,,OPEN,
Zadelman,zadelman.com,Oldenzaal,,,,OPEN,
Educatheek.nl,educatheek.nl,Utrecht,,,,OPEN,
Just Underwear B.V.,justunderwear.nl,RIJEN,,,,OPEN,
Brandpreventiewinkel,brandpreventiewinkel.nl,Asten,,,,OPEN,oprichters Jeroen Bonnemaijers en Frans Coppens hebben in de zomer van 2025 verkocht aan Skapa Group (Twinkle jan 2026). Nieuwe directie opzoeken
Hulpmiddelwereld.nl,hulpmiddelwereld.nl,MAASTRICHT,,,,OPEN,
Jeroen Beekman Mode,jeroenbeekman.nl,EMMELOORD,Jeroen Beekman,eigenaar,LinkedIn + Brugnieuws over de webshop + eigen over-ons,GEVERIFIEERD,"samen met Iris, 6 winkels plus webshop, 50 jaar bestaan, Emmeloord en Kampen"
Cosori,cosorishop.nl,Zwolle,,,,OPEN,
Tuinsethoeskopen.nl,tuinsethoeskopen.nl,Dodewaard,,,,OPEN,"onderdeel van Van der Garde Warenhuis B.V., zelfde familie als Tuinmeubelshop (Gerrit van der Garde). Verband nog bevestigen"
2ehands-fitness.shop,2ehands-fitness.shop,Nieuwegein,,,,OPEN,
Diveoutlet,diveoutlet.nl,Valkenburg ZH,Cees Langmuur,eigenaar,LinkedIn + eigen over-ons,GEVERIFIEERD,"samen met Gertine Langmuur, webshop van Dive Post in Valkenburg ZH, sinds 1999"
Topbloemen.nl,topbloemen.nl,Aalsmeer,Jasper Jolink,CEO,persbericht Topgeschenken aug 2026 over Hoorn Bloommasters + Twinkle-portret,GEVERIFIEERD,"Topgeschenken (Topbloemen, Toptaarten), oprichter Edwin van Arkel blijft strategisch adviseur"
mini-koelkasten.nl,mini-koelkasten.nl,Joure,,,,OPEN,
OverhemdenOnline.nl,overhemdenonline.nl,Leiden,,,,OPEN,
Vijvercentrum.nl,vijvercentrum.nl,Drunen,,,,OPEN,
Spierings Herenmode,spieringsherenmode.nl,HILLEGOM,Pim van den Berg,mede-eigenaar,De Heemsteder + Leiderdorps Weekblad + handelsregister,GEVERIFIEERD,"Spierings valt onder Herenmodehuis Schulte B.V., Hillegom, samen met broer Mark. Sinds 1958"
LEDshop-Groenovatie.com,ledshop-groenovatie.com,Joure,,,,OPEN,
Chinup,chinup.nl,Sluis,,,,OPEN,
ViveraWaterbedden.nl,viverawaterbedden.nl,Apeldoorn,,,,OPEN,
Verno.com,verno.com,CRUQUIUS,,,,OPEN,
RVS Products,rvs-products.nl,Capelle aan den IJssel,,,,OPEN,
Schreuder Natuurgeneesmiddelen,schreuder-natuurgeneesmiddelen.nl,Baarn,,,,OPEN,
Speedcube,speedcube.nl,Heerhugowaard,Dave,oprichter,eigen over-ons,DEELS,"alleen voornaam. DATAL B.V., Nobelstraat 1A Heerhugowaard"
De Bouwhof,bouwhof.nl,Zoetermeer,Jan Bart Huurman,algemeen directeur,Interior Business-portret + LinkedIn + Bunt Groep-klantverhaal,GEVERIFIEERD,"derde generatie, bedrijf 46 jaar geleden gestart door vader Dirk, Edisonstraat 115 Zoetermeer"
Shirtmeister®,shirtmeister.com,Helmond,,,,OPEN,
Boekenwereld.com,boekenwereld.com,UTRECHT,,,,AF,"webwinkel van uitgeverij Veen Bosch & Keuning, geen zelfstandig D2C-merk"
Wumby,wumby.com,Breda,,,,OPEN,
Forza Refurbished,forza-refurbished.nl,Breda,Rogier Schuurmans,eigenaar en algemeen directeur,TBM-interview over de overname + handelsregister,GEVERIFIEERD,"mede-oprichter in 2016, eigenaar sinds mei 2022, Graaf Engelbertlaan 75 Breda"
Ventilators.shop,ventilators.shop,Joure,,,,OPEN,
Kristalonline,kristalonline.nl,NUMANSDORP,,,,OPEN,
Condoom-Anoniem.nl,condoom-anoniem.nl,VELDHOVEN,,,,OPEN,
ZINZI,zinzi.nl,Rotterdam,Martijn van der Velden,mede-oprichter,eigen over-ons + Zilver.nl-blog + Trendjuwelier,GEVERIFIEERD,"samen met broer Thijs, sinds 2003, Rotterdam, internationaal fashion jewelry-merk"
Decorazzi,decorazzi.com,Utrecht,Jerome de Groot,mede-oprichter,eigen pagina over-decorazzi + LinkedIn 'Jerome de Groot - Decorazzi.com',GEVERIFIEERD,"Decorazzi B.V. in een oud schoolgebouw in Utrecht, behang en vloerkleden, met art director Gonnette"
Wijnkoelkaststore.com,wijnkoelkaststore.com,Haelen,,,,OPEN,
Dekbedden.nl,dekbedden.nl,LEIDEN,Niels Verwij,oprichter,Emerce + Twinkle + Quote + Marketingfacts,GEVERIFIEERD,"Dekbed-Discounter sinds 2014, gefuseerd met De Arend tot Jamani Group, Ben Mandemakers mede-eigenaar"
Probeauty,probeauty.nl,Doetinchem,Joey Rutjes,eigenaar,LinkedIn-bedrijfspagina + RocketReach-profiel,GEVERIFIEERD,"ProBeauty Doetinchem, groothandel en webshop in professionele haarproducten"
Eco-Logisch,eco-logisch.nl,AMSTERDAM,Rob Bos,oprichter,SchildersVAK + P-Plus + LinkedIn,DEELS,"LET OP: zijn LinkedIn zegt oud-eigenaar, hij zit nu bij Eco-Groothandel. Huidige eigenaar nakijken"
Schulte Herenmode,schulteherenmode.nl,OEGSTGEEST,Mark van den Berg,directeur,LinkedIn + De Heemsteder + Leiderdorps Weekblad,GEVERIFIEERD,"samen met broer Pim eigenaar, Herenmodehuis Schulte sinds 1927 Hillegom, 5 winkels plus webshop"
Bold Monkey,boldmonkey.com,WESTZAAN,Richard Halberstadt,eigenaar Zuiver Interior Group,Wonen360 + Interior Business + Thuiswinkel-profiel,GEVERIFIEERD,"Bold Monkey valt onder Zuiver Interior Group, hij is er ook Head of Design"
beautyplaza.com,beautyplaza.com,SLUIS,,,,OPEN,
Carmediabox.nl,carmediabox.nl,Mierlo,,,,OPEN,
Zen Lifestyle,zen-lifestyle.nl,Wijchen,Rogier,eigenaar,LivingHip-reportage + eigen contactpagina,DEELS,"alleen voornaam. Oosterbaan Living B.V., Graafseweg 781 Wijchen, 20.000 m2 showroom"
GewoonGers,gewoongers.nl,Vlaardingen,Ton Vergunst,oprichter en eigenaar,eigen over-gewoongers + case Van Ons + Satelliet-blog,GEVERIFIEERD,"sinds 2016, ook eigenaar van ESD Systeemwanden, eigen fabriek in Vlaardingen"
Footlogics.nl,footlogics.nl,Almere,,,,OPEN,
Urnencenter.nl,urnencenter.nl,Utrecht,,,,OPEN,
Olfit.nl,olfit.nl,Spijkenisse,Roan Oldekamp,eigenaar,eigen bedrijfsgegevens + Excelsior Rotterdam-partnerbericht,GEVERIFIEERD,"derde generatie Oldekamp Medisch/Olmed, 55 jaar in compressietherapie, Spijkenisse"
Blessurewijzer,blessurewijzer.nl,Dordrecht,,,,OPEN,
Computerkeuze.nl,computerkeuze.nl,Moordrecht,,,,OPEN,
Toys For Joy,toysforjoy.nl,Amsterdam,,,,OPEN,
Electrocorner,electrocorner.nl,WOERDEN,,,,OPEN,
Veilige vaart,veiligevaart.nl,Nieuwerkerk aan de IJssel,,,,OPEN,
Discus.nl,discus.nl,Doetinchem,,,,AF,"cooperatie van ruim 85 zelfstandige dierenspeciaalzaken, geen enkel D2C-bedrijf met eigen klantenservice"
Rene Houtman Interieurs B.V.,renehoutman.nl,Collendoorn,Rene Houtman,eigenaar,eigen teampagina + Ondernemen in Hardenberg,GEVERIFIEERD,"familiebedrijf met Liedi, Ruben, Reno (chef webshop) en Rosalie. Collendoorn"
Buffalo.nl,buffalo.nl,AMSTERDAM,,,,OPEN,
Kluizen.nl,kluizen.nl,BARENDRECHT,,,,OPEN,
jachtlakken.nl,jachtlakken.nl,Leeuwarden,,,,OPEN,
Partydeco.nl,partydeco.nl,Dordrecht,Tineke Meeder-Rosbergen,oprichter en CEO,eigen over-ons + RealReviews + LinkedIn,GEVERIFIEERD,"samen met Nick Meeder, We Love Deco BV in Dordrecht, ook WeddingDeco en KidsDeco, sinds 2013"
rommysgallery.com,rommysgallery.com,Barendrecht,,,,OPEN,
Cupido.nl,cupido.nl,Oegstgeest,Mirthe van Kasteel,eigenaresse,LinkedIn + handelsregister (Cupido B.V. onder Miss Steel B.V.),GEVERIFIEERD,"Haarlemmerstraatweg 32 Oegstgeest, zelfde groep als Womanizer.nl en MissSteel.nl"
Kindermodehuis.nl,kindermodehuis.nl,Mijdrecht,,,,OPEN,
Baby-Dump.nl,baby-dump.nl,Sint-Oedenrode,,,,AF,"te groot voor het ICP: winkelketen onder FTH Retail, zelfde groep als Babypark"
ikwilzitzakken.nl,ikwilzitzakken.nl,Amersfoort,,,,OPEN,
Boeketcadeau.nl,boeketcadeau.nl,OVERVEEN,Carolien Heijn,mede-eigenaar,LinkedIn + eigen teampagina,GEVERIFIEERD,"samen met eigenaar-oprichter Rudo, Overveen, bloemen en cadeaus"
KommaGo.nl,kommago.nl,Utrecht,,,,OPEN,
Barco Lichttotaal,barco.nl,EMMEN,,,,OPEN,
Containerverlener.nl,containerverlener.nl,Urk,,,,OPEN,
Kerstpakkettenplaza.nl,kerstpakkettenplaza.nl,NIFTRIK,,,,OPEN,
Bouwprofi.nl,bouwprofi.nl,Gouda,,,,OPEN,
Netcamshop.nl,netcamshop.nl,UTRECHT,J.M. Foudraine,gevolmachtigde,handelsregister,DEELS,"alleen initialen. Netcamshop valt onder KommaGo, opgericht 1999"
VoorMijnDier.nl,voormijndier.nl,EA in Ruinerwold,,,,OPEN,
werkjassen.nl,werkjassen.nl,Brandwijk,,,,OPEN,
Ledlichtdiscounter.nl,ledlichtdiscounter.nl,ALMERE,Michael Castricum,eigenaar,Picqer-case + Almere Zaken + LinkedIn Anthony Lam als mede-oprichter,GEVERIFIEERD,"LCB LED Europe B.V., Koningsbeltweg 51 Almere, 50 medewerkers, 2.500 m2 magazijn"
Top-zwembadshop.nl,top-zwembadshop.nl,Hoensbroek,,,,OPEN,
Chilly,chillyhilversum.nl,HILVERSUM,,,,OPEN,
Tadaaz,tadaaz.nl,Terneuzen,Jan Jonckheere,CEO,eigen over-ons + Thuiswinkel-ledenprofiel,GEVERIFIEERD,"Tadaaz sinds 2013, gepersonaliseerde kaarten, Belgisch-Nederlandse webshop"
Pommelientje,pommelientje.nl,Hellum,,,,OPEN,
WaterbedKampioen.nl,waterbedkampioen.nl,Apeldoorn,,,,OPEN,
Verfwinkel.nl,verfwinkel.nl,HELMOND,,,,OPEN,
Allekabels.nl,allekabels.nl,Brunssum,R. Peters,bestuurder via R. Peters Holding B.V.,handelsregister via Drimble en Company.info,DEELS,alleen initiaal. Claudia Kremer-Peters is gevolmachtigde sinds 2015
Casy.nl,casy.nl,Hengelo,,,,OPEN,
OBD-Partner,obd-partner.nl,OUD-BEIJERLAND,,,,OPEN,
Veiligheids-sloten.nl,veiligheids-sloten.nl,ROTTERDAM,,,,OPEN,
Rozenkwekerij de wilde,dewilde.nl,EMPE,Steven van Dalen,eigenaar,eigen over-ons + Boom in Business,GEVERIFIEERD,"Rozenkwekerij de Wilde sinds 1921, Ganzekolk 7 Empe, marktleider buitenrozen Benelux"
Dailystyle.nl,dailystyle.nl,Amsterdam,,,,OPEN,
Bestekshop.nl,bestekshop.nl,Amersfoort,Bart van Schie,eigenaar,LinkedIn + eigen over-ons,GEVERIFIEERD,"Tafelen en Koken B.V., sinds 2020 in Amersfoort, Havenweg 21C"
Buitengoed.nl,buitengoed.nl,LOSSER,Lars Kuhlkamp,eigenaar,LinkedIn + Losser Nieuws + eigen over-ons,GEVERIFIEERD,"nam het bedrijf in 2009 over van vader Henk Kuhlkamp, De Pol 6 Losser, sinds 1968"
Koffiecentrale.nl,koffiecentrale.nl,VENLO,Ben Wijnhoven,eigenaar,LinkedIn + Re:Shark-profiel + eigen over-ons,GEVERIFIEERD,"Koffiecentrale B.V. Venlo sinds 2005, noemt zichzelf Chief Espresso Officer"
De Online ParketShop,onlineparketshop.nl,LISSE,Patrick Kuckelkorn,eigenaar,LinkedIn + woninginrichtingen.nu,GEVERIFIEERD,"samen met Loes Goederaad, online sinds 2001, Aan de Meer en Duin 56M Lisse"
Rolgordijn.com,rolgordijn.com,Heiloo,Henk Wouters,oprichter,eigen over-ons-team + hewo.nl,GEVERIFIEERD,"HEWO Raamdecoratie, gestart 1983, samen met Marlie Wouters, fabriek in Heiloo"
Steunkousen.nl,steunkousen.nl,Dordrecht,,,,OPEN,
Yoek,yoek.nl,Zwanenburg,Joke Timmer,oprichter en eigenaar,Textilia-interview + eigen site,GEVERIFIEERD,"eigen label sinds 1985, plus-size damesmode maat 38 tot 60, Zwanenburg"
