rang,tier,bedrijf,domein,vertical,model,score,volumebewijs,cs_pijn,bron,platform,producten,talen,cs_tools,review_tools,kanalen,b2b,vacature,kvk,btw,postcode,telefoon,opgericht,scanstatus,http
80,Tier 3,Casimoda,casimoda.nl,elektronica-accessoires,D2C-kern,33,lightspeed; volumeoordeel op productmodel: hoog ordervolume telefoonaccessoires,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,lightspeed|ccvshop,0,0,,,formulier,,,,,,,,niet leesbaar voor de scanner,200
81,Tier 3,Shabbies Amsterdam,shabbiesamsterdam.com,schoenen,hybride (eigen merk + wholesale),32,3 taal-/marktvarianten; B2B/wholesale naast D2C; shopware,geen chat/CS-widget zichtbaar,,shopware,0,3,,kiyoh,telefoon|mail|formulier,ja,,,,,,,machinaal gescand,200
82,Tier 3,Dogs Companion,dogscompanion.nl,huisdier,D2C-kern,30,volwassen CS-tool: zendesk; lightspeed,,,lightspeed|ccvshop,0,0,zendesk,kiyoh,telefoon|formulier|chat,,,55866794,,4817 ZH,001670668,,machinaal gescand,200
83,Tier 3,Fitchef,fitchef.nl,food-abonnement,D2C-kern,30,headless/custom of onbekend platform; volumeoordeel op productmodel: maaltijdabonnement met wekelijkse leveringen,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,2013,niet leesbaar voor de scanner,200
84,Tier 3,Greve Shoes,greve.nl,schoenen,hybride (eigen merk + wholesale),29,282 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar,,shopify,282,0,,kiyoh,telefoon|mail|formulier,ja,,18065123,,5144 NX,,,machinaal gescand,200
85,Tier 3,Natural Heroes,naturalheroes.nl,supplementen,hybride (eigen merk + wholesale),28,B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site; WhatsApp open als kanaal,,shopify,0,0,whatsapp-widget,kiyoh|googlereviews,whatsapp|chat,ja,carriere-pagina,,,,,,machinaal gescand,200
86,Tier 3,Wolky,wolky.com,schoenen,hybride (eigen merk + wholesale),28,5 taal-/marktvarianten; B2B/wholesale naast D2C; woocommerce,geen chat/CS-widget zichtbaar,,woocommerce,0,5,,trustpilot|googlereviews,telefoon|mail|formulier,ja,,,,,,,machinaal gescand,200
87,Tier 3,Esqualo,esqualo.com,fashion-dames,hybride (eigen merk + wholesale),26,lichte CS-tool: tawk; B2B/wholesale naast D2C; magento,geen telefoonnummer op de site,,magento,0,1,tawk,,formulier|chat,ja,,,,,,,machinaal gescand,200
88,Tier 3,Matchu Sports,matchusports.com,maatwerk-sport,D2C-kern,25,"woocommerce; volumeoordeel op productmodel: maatwerk teamkleding, deels via clubs",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,woocommerce,0,0,,,formulier,,,,,,,,niet leesbaar voor de scanner,200
89,Tier 3,MYOMY do goods,myomydogoods.com,tassen,D2C-kern,24,"headless/custom of onbekend platform; volumeoordeel op productmodel: leren tassen, garantie- en reparatievragen",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
90,Tier 3,Circle of Trust,circleoftrust.nl,fashion-dames,hybride (eigen merk + wholesale),22,B2B/wholesale naast D2C; magento,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,magento,0,0,,googlereviews,mail|formulier,ja,carriere-pagina,34239187,,1187JD,020-3450155,,niet leesbaar voor de scanner,200
91,Tier 3,Trouwringen Circles,circles.nl,sieraden,D2C-kern,20,"headless/custom of onbekend platform; volumeoordeel op productmodel: maatwerk trouwringen, lage aantallen",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
92,Tier 3,Costes Fashion,costesfashion.com,fashion-dames,hybride (eigen merk + wholesale),19,2 taalvarianten; B2B/wholesale naast D2C; salesforce-cc,geen chat/CS-widget zichtbaar,,salesforce-cc,0,2,,,telefoon|mail,ja,carriere-pagina,,,,,,machinaal gescand,200
93,Tier 3,Blackstone Shoes,blackstoneshoes.com,schoenen,hybride (eigen merk + wholesale),18,"headless/custom of onbekend platform; site achter bot-beveiliging (scan beperkt); volumeoordeel op productmodel: site bot-beveiligd, model onbekend",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,403
94,Tier 3,Xsensible,xsensible.com,schoenen,hybride (eigen merk + wholesale),17,B2B/wholesale naast D2C; magento,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,magento,0,0,,googlereviews,,ja,carriere-pagina,,,,,,niet leesbaar voor de scanner,200
95,Tier 3,Red-Rag,red-rag.nl,kinderschoenen,hybride (eigen merk + wholesale),17,B2B/wholesale naast D2C; shopware,geen telefoonnummer op de site; WhatsApp open als kanaal,,shopware,0,0,whatsapp-widget,trustpilot,mail|whatsapp|chat,ja,carriere-pagina,18121767,,5145 RM,007376728,,machinaal gescand,200
96,Tier 3,Maxim Sports Nutrition,maximsport.com,sportvoeding,D2C-kern,16,"headless/custom of onbekend platform; volumeoordeel op productmodel: sportvoeding, deels via dealers",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
97,Tier 3,Beaumont Amsterdam,beaumont.nl,fashion-dames,hybride (eigen merk + wholesale),15,Shopify,geen chat/CS-widget zichtbaar,,shopify,0,0,,,telefoon|mail,,,,,6221 CJ,,,niet leesbaar voor de scanner,200
98,Tier 3,Frankie and Liberty,frankieandliberty.com,kinderkleding,hybride (eigen merk + wholesale),15,B2B/wholesale naast D2C; woocommerce,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,woocommerce,0,0,,googlereviews,formulier,ja,,27299450,,2585HP,,,niet leesbaar voor de scanner,200
99,Tier 3,Fifth House,fifthhouse.nl,fashion-dames,hybride (eigen merk + wholesale),13,2 taalvarianten; shopware,geen chat/CS-widget zichtbaar,,shopware,0,2,,,telefoon,,carriere-pagina,,,,+31 20 8080151,,machinaal gescand,200
100,Tier 3,Off The Pitch,offthepitch.com,fashion-streetwear,hybride (eigen merk + wholesale),13,shopware,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopware,0,0,,,mail|formulier,,,,,,,,niet leesbaar voor de scanner,200
101,reserve,Buddha to Buddha,buddhatobuddha.com,sieraden,hybride (eigen merk + wholesale),13,B2B/wholesale naast D2C; magento,WhatsApp open als kanaal,,magento,0,0,whatsapp-widget,trustpilot|trustedshops,telefoon|mail|whatsapp|formulier|chat,ja,carriere-pagina,,,1059 CJ,,,machinaal gescand,200
102,reserve,Develab,develab.com,kinderschoenen,hybride (eigen merk + wholesale),13,B2B/wholesale naast D2C; shopware,geen chat/CS-widget zichtbaar,,shopware,0,0,,trustpilot,telefoon|mail,ja,carriere-pagina,,,,,,niet leesbaar voor de scanner,200
103,reserve,Cellcare,cellcare.be,supplementen-be,hybride (eigen merk + wholesale),12,262 reviews zichtbaar; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,trustpilot,,,,,,,,,niet leesbaar voor de scanner,200
104,reserve,Born Sportscare,born.eu,sportvoeding,D2C-kern,12,"headless/custom of onbekend platform; volumeoordeel op productmodel: sportvoeding, deels via dealers",geen chat/CS-widget zichtbaar,,,0,0,,,telefoon|mail,,,,,,,,niet leesbaar voor de scanner,200
105,reserve,Feetje,feetje.nl,kinderkleding,hybride (eigen merk + wholesale),11,headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,,0,0,,,mail|formulier,,,69675856,,4815 PH,+31 76 750 1111,,niet leesbaar voor de scanner,200
106,reserve,Van Lier,vanlier.com,schoenen,hybride (eigen merk + wholesale),11,headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,,0,0,,,mail,,,,,,,,niet leesbaar voor de scanner,200
107,reserve,Fjory,fjory.nl,sieraden,D2C-kern,9,woocommerce,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,woocommerce,0,0,,googlereviews,formulier,,,,,2509 LP,070 386 62 48,,niet leesbaar voor de scanner,200
108,reserve,Koko Noko,kokonoko.nl,kinderkleding,hybride (eigen merk + wholesale),9,B2B/wholesale naast D2C; lightspeed,geen chat/CS-widget zichtbaar,,lightspeed|ccvshop,0,0,,yotpo,telefoon|formulier,ja,carriere-pagina,,,,,,niet leesbaar voor de scanner,200
109,reserve,LingaDore,lingadore.com,lingerie,hybride (eigen merk + wholesale),9,B2B/wholesale naast D2C; woocommerce,WhatsApp open als kanaal,,woocommerce,0,0,whatsapp-widget,,telefoon|mail|whatsapp|formulier|chat,ja,carriere-pagina,09086984,,7091 HR,,2005,machinaal gescand,200
110,reserve,Tumble N Dry,tumblendry.com,kinderkleding,hybride (eigen merk + wholesale),8,B2B/wholesale naast D2C; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar,,,0,0,,,telefoon|mail,ja,,87643189,,1043 EJ,020-2420680,2007,niet leesbaar voor de scanner,200
111,reserve,MAICAZZ,maicazz.nl,fashion-dames,hybride (eigen merk + wholesale),6,headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
112,reserve,Z8,z8.nl,kinderkleding,hybride (eigen merk + wholesale),6,headless/custom of onbekend platform,geen telefoonnummer op de site; WhatsApp open als kanaal,,,0,0,whatsapp-widget,,whatsapp|chat,,,,,,058-8450550,,machinaal gescand,200
113,reserve,Quapi Kidswear,quapi.com,kinderkleding,hybride (eigen merk + wholesale),6,headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
114,reserve,Dirkje,dirkje.nl,kinderkleding,hybride (eigen merk + wholesale),6,B2B/wholesale naast D2C; lightspeed,geen chat/CS-widget zichtbaar,,lightspeed|ccvshop,0,0,,,telefoon|formulier,ja,,83536493,,6003 DG,08966 1753,,niet leesbaar voor de scanner,200
115,reserve,Sylver,sylver.nl,fashion-dames,hybride (eigen merk + wholesale),6,headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,88910652,NL864820458B01,2288AA,,,niet leesbaar voor de scanner,200
116,reserve,Smashed Lemon,smashedlemon.com,fashion-dames,hybride (eigen merk + wholesale),6,headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
218,aanvulling,CLUSE,cluse.com,horloges,D2C-kern,,,,,shopify,361,7,freshdesk,trustedshops|googlereviews,,,,,,,,,,
222,aanvulling,Difrax,difrax.com,baby,D2C-kern,,,,,shopify,215,75,,judgeme|googlereviews,,,,,,,,,,
223,aanvulling,Fresh n Rebel,freshnrebel.com,elektronica,D2C-kern,,,,,shopware,0,11,zendesk|re-amaze,trustpilot,,,,,,,,,,
224,aanvulling,Komono,komono.com,horloges-be,D2C-kern,,,,,shopify,1309,6,,trustpilot,,,,,,,,,,
226,aanvulling,Bamboo Bamboo,bamboobamboo.nl,home,D2C-kern,,,,,,0,0,,,,,,,,,,,,
229,aanvulling,Marlies Dekkers,marliesdekkers.com,lingerie,D2C-kern,,,,,shopify,606,36,,yotpo|trustedshops,,,,,,,,,,
