Prospect,Contactpagina,Formulier,Onderwerp,Bericht,Link
Pomax,https://www.pomax.com/nl/customer/contact,JA,Premium merk versus service,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 3,7 met alleen e-mail, en er zit een gat tussen het premium merk en de service. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/pomax

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/pomax
Naif Care,https://naifcare.nl/pages/contact,NEE,Een persoon voor vier landen,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie eigen vacature vraagt een persoon voor vier landen vol ouders met productvragen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/naif

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/naif
Noordcode,https://noordcode.com/pages/contact,NEE,Service bij premium supplements,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Bij premium supplements is er nog geen zichtbare klantenservicestructuur. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/noordcode

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/noordcode
Snurk,https://www.snurkamsterdam.com/pages/contact,JA,Reputatie bij een internationaal merk,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

De reputatie staat wat onbeheerd, 3,7 uit 19 reviews, bij een internationaal merk met alleen e-mail. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/snurk

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/snurk
Filling Pieces,https://support.fillingpieces.com/hc/en-us,ONBEKEND,Support en het retourvenster,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten mailen support zonder antwoord, en het retourvenster gaat in op de besteldag in plaats van de ontvangstdag. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/filling-pieces

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/filling-pieces
Daily Paper,https://dailypaperclothing.com/pages/contact-us,NEE,Mails die maanden liggen,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 2,6, met mails die maanden blijven liggen en terugbetalingen die langer duren dan beloofd. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/daily-paper

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/daily-paper
Olaf Hussein,https://olafhussein.com/pages/contact-us,JA,Retouren via het formulier,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten lopen tegen retourproblemen aan, met alleen een contactformulier als kanaal. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/olaf-hussein

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/olaf-hussein
Tenue de Nîmes,https://www.tenuedenimes.com/pages/contact,NEE,Reputatie en service,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Er staat online een klacht over personeel dat klanten negeert, en jullie reputatie is online nauwelijks opgebouwd. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/tenue-de-nimes

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/tenue-de-nimes
Juttu,https://www.juttu.be/nl/veelgestelde-vragen.html,NEE,Onbeantwoorde reviews,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Met dertien winkels en duizenden Feefo-reviews blijven negatieve Trustpilot-reviews onbeantwoord. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/juttu

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/juttu
Essentiel Antwerp,https://www.essentiel-antwerp.com/eu/about-us/contact,JA,Mails over retouren,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 2,9, met meerdere mails over retouren die onbeantwoord blijven. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/essentiel-antwerp

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/essentiel-antwerp
Maison Lab,https://maison-lab.com/pages/contact,NEE,Retouren en retourkosten,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Retouren blijven wekenlang liggen, mails onbeantwoord, en de retourkosten staan niet duidelijk vermeld. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/maison-lab

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/maison-lab
Only Natural,https://shop.onlynatural.nl/en/1/contact.aspx,JA,Drie werkdagen responstijd,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie contactpagina belooft drie werkdagen, zonder chat of WhatsApp ernaast. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/only-natural

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/only-natural
Studio Noos,https://studionoos.com/pages/contact,NEE,Ontbrekende orders,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten mailen over ontbrekende orders en krijgen alleen automatische antwoorden terug. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/studio-noos

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/studio-noos
Bamigo,https://bamigo.com/nl/contact,ONBEKEND,Antwoord pas na een review,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Bij ruim 40.000 reviews schrijven klanten dat ze pas antwoord kregen nadat ze publiek een review plaatsten. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/bamigo

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/bamigo
Dopper,https://dopper.com/contact,NEE,Vermiste pakketten zonder reactie,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Er is geen telefoonnummer, alleen een formulier, en klachten over vermiste pakketten blijven zonder reactie. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/dopper

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/dopper
Nikkie,https://www.nikkie.com/en-nl/about/contact/,ONBEKEND,"Ontkende levering, trage terugbetaling","Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten melden dat een DHL-levering wordt ontkend en dat terugbetalingen maanden duren. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/nikkie

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/nikkie
HAY Shop,https://www.hay.nl/en/customer-service/contact/,JA,Onbereikbaar op alle kanalen,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 1,3, met klanten die zes telefoontjes en vijf mails sturen zonder reactie. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/hay-shop

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/hay-shop
Ferm Living NL,https://fermliving.com/pages/contact-form,JA,Twaalf mails zonder afhandeling,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Een derde van de reviews is een ster, en een klant stuurde twaalf mails en drie telefoontjes zonder afhandeling. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/ferm-living

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/ferm-living
Normann Copenhagen NL,https://www.normann-copenhagen.com/en/help/contact-us/,ONBEKEND,Retourinformatie zonder antwoord,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten krijgen steeds dezelfde retourinformatie zonder antwoord op hun vraag, met retourkosten rond de 300 euro. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/normann-copenhagen

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/normann-copenhagen
Blue Industry,https://www.blue-industry.com/contact,ONBEKEND,Retourkosten bij de klant,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Retourkosten liggen altijd bij de klant, met alleen e-mail en een formulier als kanaal. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/blue-industry

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/blue-industry
Cotton Club,https://www.cottonclub.nl/nl-nl/customer-care.html,NEE,Retouren niet vergoed,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 2,0, met meer dan de helft een ster: retouren niet vergoed, mails onbeantwoord. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/cotton-club

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/cotton-club
Auping Shop,https://www.auping.com/nl/klantenservice/contact,JA,"Twee scores, een merk","Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Auping.nl staat op een 4,3, maar auping.com op een 2,3, met afspraken die niet worden nagekomen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/auping

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/auping
Expresso Fashion,https://www.expresso.nl/over-expresso/contact.html,NEE,Retouren niet terugbetaald,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Aantoonbaar afgeleverde retouren worden niet terugbetaald, lees ik in de reviews. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/expresso-fashion

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/expresso-fashion
Aevor,https://www.aevor.com/en/pages/contact,JA,Garantie en duurzaamheid,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 4,6, maar er is een klacht over garantieweigering na drie jaar, wat wringt met het duurzame verhaal. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/aevor

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/aevor
Geisha Fashion,https://geishafashion.nl/pages/contact,NEE,Service na een klacht,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

De klantenservice stopte met reageren nadat een klant foto's van een beschadigde blouse stuurde. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/geisha-fashion

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/geisha-fashion
