"﻿""Prospect""","Website","Bezwaar (trigger)","Landingspagina","Brieftekst","Notitie","Beslisser_naam","Beslisser_functie","Straat","Postcode","Stad","Land","Bron","Adres_notitie"
"Kosso Nutrition","kossonutrition.nl","Responstijden van 5 min tot een week bij ~5.000 reviews, e-mail only","intro-pique.agency/bcs/kosso-nutrition","Beste Albert,

165.000 klanten. Trustpilot 4,5. Soms antwoord je binnen 5 minuten. Soms duurt het een week.

Dat valt op.

Niet omdat die 4,5 slecht is. Maar omdat een deel van je klanten een totaal ander bedrijf ervaart dan een ander deel.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/kosso-nutrition

Groet,
Jeffrey
","","Albert Dervishaj","Founder","Logistiekstraat 6","6361 KE","Nuth","Nederland","KVK",""
"FLOTTE","flotte.amsterdam","Geen reviewstrategie + geen CS-team, terwijl retentie op service drijft","intro-pique.agency/bcs/flotte","Beste Floor,

Jullie loungewear verkoopt zichzelf opnieuw. Klanten komen terug zonder dat jullie ze hoeven te overtuigen. Maar ik zie nergens wie er achter FLOTTE staat. Geen gezicht, geen reviews, geen team. De webshop doet het werk alleen.

Jullie winkel ging dicht in juli 2024. Sindsdien alleen online. Dat is een keuze, maar het vraagt iets anders van hoe je je presenteert.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/flotte

Groet,
Jeffrey
","","Floor van Welsem","Oprichter","Grote Overstraat 77","7411 LG","Deventer","Nederland","website","LET OP: winkel gesloten per juli 2024 na 7 jaar. Domein flotte.nl geparkeerd (te koop)."
"Vetain","vetain.nl","Restitutieproblematiek + geen lokale NL CS bij abonnementsmodel","intro-pique.agency/bcs/vetain","Beste Philipp,

Vetain werkt met abonnementen. Dat betekent dat een klant die wil stoppen, eerst door een terugbetalingsproces moet. In Nederland bellen mensen dan gewoon op. Er is niemand die opneemt.

Dat is geen verwijt. Het is hoe het bij veel Duitse bedrijven gaat als ze hier starten.

Ik help een paar bedrijven met precies dit soort dingen. Geen groot verhaal, gewoon praktisch.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/vetain

Groet,
Jeffrey
","","Philipp Riedl","Founder & Geschäftsführer","An der Flur 9","85604","Zorneding","Duitsland","Handelsregister","Duits GmbH. Co-founder: Luca Gruber. vetain.nl is de NL-versie van vetain.de."
"Plnktn","plnktn.com","Internationale expansie zonder schaalbare meertalige CS","intro-pique.agency/bcs/plnktn","Beste Thom,

Jullie verkopen supplementen in meerdere landen. Elke markt wil andere claims zien op dezelfde ingrediënten. Dat los je niet één keer op.

Een afspraak zegt meer dan een mail.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/plnktn

Groet,
Jeffrey
","","Thom Siersema","Founder","Anthony Fokkerweg 21","1059 CN","Amsterdam","Nederland","KVK","Adres gecorrigeerd: Anthony Fokkerweg 21 (niet Stadhouderskade). Co-founder: Gijs Dröge."
"Bazar Bizar","bazarbizar.eu","E-mail only zonder responstijd + social pieken, NL/BE tweetalig","intro-pique.agency/bcs/bazar-bizar","Beste Pascale,

Bazar Bizar heeft een groot sociaal bereik - zowel in Nederland als België. Maar wie een vraag heeft, stuit op alleen een e-mailadres. Geen telefoonnummer. Geen chat. Geen indicatie wanneer iemand terugbelt.

Jullie content doet zijn werk. De opvolging daarna minder.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/bazar-bizar

Groet,
Jeffrey
","","Pascale Pelsmaekers","Founder & Creative Director","Duffelsesteenweg 152","2550","Kontich","België","KBO","Co-founder: Eddy Roothaert (logistics)."
"Pomax","pomax.be","Trustpilot 3,7 + e-mail only: gap tussen premium merk en CS","intro-pique.agency/bcs/pomax","Beste Xavier,

Pomax verkoopt spiegels van 400 euro en reageert via een formulier.

Bazar Bizar doet hetzelfde segment. Die hebben een 4,2 op Trustpilot.

Jullie staan op 3,7. Dat verschil zit niet in het product.

Wie iets koopt voor de slaapkamer wil weten met wie hij te maken heeft. Niet na de aankoop. Ervoor.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/pomax

Groet,
Jeffrey
","","Xavier De Vil","Managing Director","Duffelsesteenweg 160","2550","Kontich","België","KBO","Zit vlak naast Bazar Bizar."
"Naif Care","naif.nl","Eigen CS-vacature: één persoon voor 4 landen vol ouders met productvragen","intro-pique.agency/bcs/naif","Beste Gijs,

Jullie zoeken één Customer Care Specialist voor vier landen. Dat is niet een vacature - dat is een rekensommetje met ouders die 's nachts vragen sturen over babycrème.

Ik volg dit soort vacatures. Niet omdat ik ze invul, maar omdat ze iets zeggen over wat er binnenkomt versus wat er staat.

Eén persoon. Vier landen. Babyverzorging.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/naif

Groet,
Jeffrey
","","Gijs Krimp","CEO","Hellingweg 86","2583 WH","Den Haag","Nederland","KVK","Oprichters: Jochem Hes en Sjoerd Trompetter. Gijs Krimp is huidige CEO."
"Noordcode","noordcode.nl","Geen zichtbare CS-structuur bij premium supplements (lage prioriteit)","intro-pique.agency/bcs/noordcode","Beste Eduard,

Jullie supplementen liggen in het premium segment. Dat zie je direct.

Maar als ik zoek naar wat klanten ervan vinden - reviews, reacties, iets - is het stil. Opvallend stil voor een product op dit prijsniveau.

Ik houd me bezig met B2B-afspraken voor bedrijven waarbij er iets niet klopt tussen wat ze verkopen en wat er online over te vinden is.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/noordcode

Groet,
Jeffrey
","Lage prioriteit (score 5,2).","Eduard de Wilde","Founder / CEO","Loopkantstraat 25","5405 AC","Uden","Nederland","website",""
"Snurk","snurkbedding.com","Onderbeheerde reputatie (3,7 / 19 reviews) bij internationaal merk, e-mail only","intro-pique.agency/bcs/snurk","Beste Erik,

Snurk verkoopt in vier landen. Op Trustpilot staan 19 reviews. Gemiddeld een 3,7.

Dat valt op.

Niet omdat het slecht is. Maar omdat je ziet dat er iets niet meegroeit met de rest.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/snurk

Groet,
Jeffrey
","","Erik van Loo / Peggy van Neer","Co-founders","Cruquiusweg 96S","1019 AJ","Amsterdam","Nederland","KVK",""
"Filling Pieces","fillingpieces.com","604 Trustpilot-reviews; e-mails naar support onbeantwoord; retourvenster gaat in op besteldag i.p.v. ontvangstdag","intro-pique.agency/bcs/filling-pieces","Beste Guillaume,

Op Trustpilot staan 604 reviews over Filling Pieces. Meerdere mensen schrijven dat ze na een e-mail naar jullie support nooit iets terughoorden. Een klant met een jasje met fabricagefout probeerde het meerdere keren. Niets. Iemand anders schrijft: ""Your customer service is beyond pathetic."" Het retourvenster gaat bij sommigen al in op de besteldag, niet de ontvangstdag.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/filling-pieces

Groet,
Jeffrey","","Guillaume Philibert","Founder & Creative Director","Spuistraat 168B","1012 VT","Amsterdam","Nederland","KVK","Verifieer vs Jan Lievensstraat 34."
"Daily Paper","dailypaperclothing.com","Trustpilot 2.6/5 (251 reviews); e-mails 2 maanden onbeantwoord; terugbetalingen 15+ dagen i.p.v. beloofde 5-10","intro-pique.agency/bcs/daily-paper","Beste Rodney,

Op Trustpilot staan 251 reviews over Daily Paper. De score is 2.6. Iemand schreef dat hij twee maanden lang e-mails stuurde over een vermist pakket voordat er iemand reageerde. Een ander kon nergens terecht bij een onvolledige bestelling. Terugbetalingen duren bij jullie 15 dagen of langer, terwijl de belofte 5 tot 10 werkdagen is.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/daily-paper

Groet,
Jeffrey","","Rodney Lam","CEO & Co-owner","Damrak 37","1012 LG","Amsterdam","Nederland","KVK","Postcode te bevestigen."
"Olaf Hussein","olafhussein.com","Trustpilot 3.2/5 (27 reviews); retourproblemen; geen telefoon of chat - alleen contactformulier","intro-pique.agency/bcs/olaf-hussein","Beste Olaf,

Op Trustpilot staan 27 reviews voor Olaf Hussein, gemiddeld een 3.2. Een paar klanten schrijven over sokken die na enkele maanden scheuren - voor 15 euro per paar. Anderen beschrijven een retourproces waarbij ze dagen wachten op een reactie via het contactformulier, zonder telefoonnummer of chat om iets te vragen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/olaf-hussein

Groet,
Jeffrey","","Olaf Hussein","Founder & Managing Director","Bilderdijkstraat 112-114","1053 KZ","Amsterdam","Nederland","KVK",""
"Tenue de Nîmes","tenuedenimes.com","Trustpilot slechts 2 reviews; TripAdvisor klacht over personeel dat klanten negeert","intro-pique.agency/bcs/tenue-de-nimes","Beste Menno,

Op Trustpilot staan twee reviews voor Tenue de Nîmes. Twee. En op TripAdvisor schrijft iemand dat medewerkers hun eigen gesprek afmaken voordat ze een klant helpen. Dat is niet iets wat jij waarschijnlijk weet, want niemand houdt het bij. Ondertussen loopt er een winkel in Amsterdam die mensen wegstuurt, en een webshop waar reviewers gewoon niet terugkomen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/tenue-de-nimes

Groet,
Jeffrey","","Menno van Meurs","Founder / Owner","Elandsgracht 60","1016 TX","Amsterdam","Nederland","KVK",""
"Juttu","juttu.com","13 winkels, 10.000+ Feefo reviews, maar slechts 30 Trustpilot reviews; negatieve reviews onbeantwoord","intro-pique.agency/bcs/juttu","Beste Bea,

Juttu heeft 13 winkels en meer dan 10.000 reviews op Feefo. Op Trustpilot staan er 30. Twee pagina's. Een klant schrijft daar dat haar bestelling beschadigd aankwam en nooit terugbetaald werd. Geen reactie. Dat bericht staat er al een tijdje.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/juttu

Groet,
Jeffrey","","Bea De Beuckelaer","CEO Retail Concepts","Smallandlaan 9","2660","Hoboken","België","KBO","Adres moederbedrijf IFG Group."
"Essentiel Antwerp","essentiel-antwerp.com","Trustpilot 2.9/5; meerdere e-mails over retouren volledig onbeantwoord","intro-pique.agency/bcs/essentiel-antwerp","Beste Esfan,

Op Trustpilot schrijven klanten dat ze meerdere e-mails stuurden over hun retour of levering en nooit antwoord kregen. Eén iemand schrijft: ""Charging £250+ for a dress and you can't even be bothered to respond."" Er staan er meer met hetzelfde verhaal. Geen boos commentaar over het product, maar over stilte.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/essentiel-antwerp

Groet,
Jeffrey","","Esfan Eghtessadi","Co-founder & CEO","Arenbergstraat 21","2000","Antwerpen","België","KBO",""
"Maison Lab","maisonlab.nl","Retouren wekenlang niet verwerkt; e-mails onbeantwoord; €13 retourkosten NL niet vermeld","intro-pique.agency/bcs/maison-lab","Beste Samira,

Op Trustpilot staat bij maison-lab.nl dat retouren wekenlang niet verwerkt worden en e-mails onbeantwoord blijven. Een klant schrijft dat de retourkosten vanuit Nederland, 13 euro, niet vooraf vermeld waren. Dat zijn 34 reviews, 4 sterren, en toch staan die klachten er gewoon tussen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/maison-lab

Groet,
Jeffrey","Geen LP aangemaakt - URL werkt nog niet","Samira Labyed","Co-founder / Sales & Marketing","Woudstraat 9","3600","Genk","België","KBO","Verificeer via KBO."
"Only Natural","onlynatural.nl","Contactpagina belooft 3 werkdagen responstijd; geen chat/WhatsApp/Trustpilot aanwezig","intro-pique.agency/bcs/only-natural","Beste Ciska,

Op jullie contactpagina staat letterlijk: ""We will contact you within 3 working days."" Geen chat, geen WhatsApp, geen Trustpilot-profiel waar klanten iets achterlaten. Iemand die een vraag heeft over een bestelling, wacht dus tot dinsdag op een antwoord dat vrijdagmiddag werd verstuurd. Wat er in die drie dagen met die klant gebeurt, is nergens zichtbaar.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/only-natural

Groet,
Jeffrey","Geen LP aangemaakt - URL werkt nog niet","Ciska Jansen","Eigenaar / Co-founder","Aalsmeerderweg 249G","1432 CM","Aalsmeer","Nederland","KVK",""
"Studio Noos","studionoos.com","275 Trustpilot-reviews; e-mails over ontbrekende orders onbeantwoord; alleen automatische replies; geen telefoonnummer","intro-pique.agency/bcs/studio-noos","Beste Marie-Claire,

Op Trustpilot staan 275 reviews voor Studio Noos. Een aantal mensen schrijft dat ze meerdere e-mails hebben gestuurd over een ontbrekende bestelling en alleen een automatisch antwoord terugkregen. Geen telefoonnummer om te bellen. Instagram-berichten onbeantwoord. Dat was in november 2024, en ook in januari en april 2025 nog.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/studio-noos

Groet,
Jeffrey","","Marie-Claire van der Steen","Founder","Cruquiusweg 110D","1019 AK","Amsterdam","Nederland","KVK",""
"Bamigo","bamigo.com","41.276 Trustpilot-reviews; klanten kregen pas reactie nadat ze publiek een review plaatsten","intro-pique.agency/bcs/bamigo","Beste Freek,

Op Trustpilot staan meerdere reviews van klanten die schrijven dat ze wekenlang e-mails stuurden over een retour, geen reactie kregen, en daarna een publieke review plaatsten - waarna ze binnen een dag een retourlabel ontvingen. Dat is terug te lezen in de 1-ster reviews op bamigo.com. Bij 41.276 reviews valt 3% misschien mee op papier, maar die 3% leest wel alsof het postvak IN niet werkt.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/bamigo

Groet,
Jeffrey","","Freek Rijken","CEO","Gasthuisstraat 75","5708 HJ","Helmond","Nederland","KVK",""
"Dopper","dopper.com","Geen telefoonnummer; alleen formulier/e-mail; klachten over vermiste pakketten zonder reactie","intro-pique.agency/bcs/dopper","Beste Virginia,

Op Trustpilot schrijven klanten dat hun Dopper-pakket nooit aankwam en dat de DHL track&trace niet werd bijgewerkt. Er is geen telefoonnummer om te bellen. Alleen een formulier en een e-mailadres. Wie een pakket kwijt is, zit te wachten op een antwoord dat soms niet komt.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/dopper

Groet,
Jeffrey","","Virginia Yanquilevich","CEO","Gonnetstraat 26","2011 KA","Haarlem","Nederland","KVK",""
"Nikkie","nikkiefashion.com","213+ Trustpilot-reviews; DHL-aflevering ontkend door CS; terugbetalingen duren maanden","intro-pique.agency/bcs/nikkie","Beste Nikkie,

Op Trustpilot staan 213 reviews over nikkie.com. Een klant stuurde het DHL-afleveringsbewijs op - het pakket was bij jullie magazijn bezorgd - en jullie klantenservice ontkende de ontvangst. Die review staat er nog steeds, onbeantwoord.

Andere klanten schrijven over terugbetalingen die maanden duren. Eentje noemt het simpelweg ""very unprofessional.""

Ik weet niet wat er achter de schermen speelt. Maar dat lees ik wel op een zondagavond.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/nikkie

Groet,
Jeffrey","","Nikkie Plessen","CEO / Owner","Van Eeghenstraat 82","1071 GK","Amsterdam","Nederland","KVK","NP Fashion B.V."
"HAY Shop","hay.dk","Trustpilot 1.3/5 (234+ reviews); 6 telefoontjes + 5 e-mails zonder reactie gemeld; onbereikbaar op alle kanalen","intro-pique.agency/bcs/hay-shop","Beste Rolf,

Op Trustpilot staat hay.dk op 1.3 uit 5, gebaseerd op meer dan 234 reviews. Iemand schrijft dat hij zes keer heeft gebeld en vijf e-mails heeft gestuurd, zonder ooit een reactie te krijgen. Een ander meldt dat jullie op Facebook, Instagram en e-mail simpelweg niet reageren.

Dat zijn geen eenmalige meldingen. Dat is wat mensen schrijven als ze geen kant meer op kunnen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/hay-shop

Groet,
Jeffrey","","Rolf Hay","Co-founder & Creative Director","Frederiksgade 23","1265","København K","Denemarken","Handelsregister",""
"Ferm Living NL","fermliving.com","Trustpilot 3.7/5 (184 reviews); 34% 1-ster; klant stuurde 12 e-mails + 3 telefoontjes zonder afhandeling","intro-pique.agency/bcs/ferm-living","Beste Trine,

Op Trustpilot staat iemand die twaalf e-mails en drie telefoontjes stuurde over ontbrekende lampenkapjes. Geen oplossing. Een ander beschrijft vijf dagen heen-en-weer over een defect product, ook zonder afhandeling. Van de 184 reviews is 34% een ster. Dat zijn geen uitschieters, dat is een derde van iedereen die de moeite nam iets te schrijven.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/ferm-living

Groet,
Jeffrey","","Trine Andersen","Founder & Creative Director","Kuglegaardsvej 1-5","1434","København K","Denemarken","Handelsregister","CEO is Peter Vedel; kaart naar creatief directeur Trine Andersen."
"Normann Copenhagen NL","normann-copenhagen.com","Trustpilot 2.4/5 (48 reviews); CS herhaalt alleen retourinformatie zonder vraag te beantwoorden; retourkosten ~€300 vanuit EU","intro-pique.agency/bcs/normann-copenhagen","Beste Poul,

Op Trustpilot staat Normann Copenhagen op een 2.4. Een van de reviewers schrijft dat ze een vraag stuurden en alleen retourinformatie terugkregen. Niet een antwoord op de vraag, maar retourinformatie. En retourneren vanuit de EU kost blijkbaar rond de €300.

Dat zijn 48 mensen die de moeite namen iets te schrijven.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/normann-copenhagen

Groet,
Jeffrey","","Poul Madsen","Co-founder & CEO","Niels Hemmingsens Gade 12","1153","København K","Denemarken","Handelsregister",""
"Blue Industry","blueindustry.nl","Geen Trustpilot-profiel; retourkosten altijd voor klant; alleen e-mail en contactformulier","intro-pique.agency/bcs/blue-industry","Beste Rogier,

Blue Industry verkoopt overhemden en broeken voor een paar honderd euro per stuk, maar als een klant iets wil terugsturen, betaalt hij dat zelf. En als hij daarna wil weten hoe het staat met zijn restitutie, stuurt hij een e-mail naar info@blue-industry.com. Er is geen Trustpilot-profiel, geen chat, geen WhatsApp. Ik vroeg me af hoe dat voelt voor iemand die net 180 euro heeft uitgegeven aan een overhemd.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/blue-industry

Groet,
Jeffrey","","Rogier van Kleef","Co-founder","Van Leeuwenhoekweg 7","3401 ML","IJsselstein","Nederland","KVK","Adres verificeren via KVK."
"Cotton Club","thecottonclub.nl","Trustpilot 2.0/5 (96 reviews); 58% 1-ster; retouren niet vergoed, e-mails onbeantwoord","intro-pique.agency/bcs/cotton-club","Beste Nathalie,

Op Trustpilot staat Cotton Club op een 2.0. Van de 96 reviews is 58% een 1-ster. Klanten schrijven over retouren die niet worden vergoed, pakketjes die niet aankomen en e-mails die onbeantwoord blijven. Een klant omschreef het als ""schandalig slechte service"". Dat zijn geen losse reacties - dat is wat mensen typen als ze nergens anders meer terechtkunnen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/cotton-club

Groet,
Jeffrey","","Nathalie van Zeelt","Directeur","Ellen Pankhurststraat 21","5032 MD","Tilburg","Nederland","KVK",""
"Auping Shop","auping.nl","Trustpilot auping.nl 4.3/5 maar auping.com 2.3/5; afspraken niet nagekomen; mails niet beantwoord","intro-pique.agency/bcs/auping","Beste Jan-Joost,

Op Trustpilot schrijft iemand: ""Niet bereikbaar, komt afspraak rondom levering niet na, mails worden niet beantwoord."" Een andere klant: ""Bellen niet terug als ze dat beloven."" Dat zijn geen uitzonderingen - auping.nl staat op 4.3, maar auping.com staat op 2.3. Twee gezichten van hetzelfde merk.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/auping

Groet,
Jeffrey","","Jan-Joost Bosman","Algemeen Directeur (CEO)","Maagdenburgstraat 26","7421 ZC","Deventer","Nederland","KVK","KVK 38016729."
"Expresso Fashion","expresso.nl","Trustpilot 2.3/5 (33 reviews); aantoonbaar afgeleverde retouren niet terugbetaald; claimsagent nodig","intro-pique.agency/bcs/expresso-fashion","Beste Léonie,

Op Trustpilot staan 33 reviews over Expresso Fashion, gemiddeld een 2,3. Klanten schrijven dat retourpakketten aantoonbaar zijn afgeleverd maar dat terugbetalingen uitblijven. Dat klantenservice niets weet over levertijden. Dat een claimsagent uiteindelijk de enige uitweg was. Geen van die reviews is beantwoord.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/expresso-fashion

Groet,
Jeffrey","","Léonie Grunder","Directeur EC Brands","Stammerhove 1","1112 VA","Diemen","Nederland","KVK","Onderdeel NAURA groep."
"Aevor","aevor.com","Trustpilot 4.6/5 maar klacht over garantieweigering na 3 jaar; contrast met duurzaamheidspositionering","intro-pique.agency/bcs/aevor","Beste Till,

Op Trustpilot schrijft een klant dat de stiksels van zijn schouderriem na drie jaar loslieten. Hij vroeg om reparatie. Het antwoord was dat de garantie verlopen was. In dezelfde review staat dat AEVOR zichzelf als duurzaam merk positioneert.

Dat is een situatie die zich slecht verhoudt tot wat er op de website staat.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/aevor

Groet,
Jeffrey","","Till Laszlop","Managing Director (baesiq GmbH / AEVOR)","Vitalisstraße 67","50827","Köln","Duitsland","Handelsregister","FOND OF GmbH."
"Geisha Fashion","geisha.nl","Trustpilot 2.4/5 (69% 1-ster van 13 reviews); CS stopte met reageren na foto's beschadigde blouse","intro-pique.agency/bcs/geisha-fashion","Beste Mark,

Op Trustpilot staat een review van iemand die foto's stuurde van een beschadigde blouse. Jullie klantenservice suggereerde dat ze verkeerd had gewassen. Daarna bleef het stil. Die review staat er nog. 69% van jullie reviews heeft één ster, en bij slechts een derde daarvan is gereageerd.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/geisha-fashion

Groet,
Jeffrey","","Mark Jessurun","Eigenaar / Oprichter","Singaporestraat 86","1175 RA","Lijnden","Nederland","KVK","KVK 80627803."
