Bedrijf,Website,Stad,Verticaal,Omzet_est,Pijnprofiel,Beslisser_naam,Beslisser_functie,LinkedIn,Verificatie,Bron,Contactkanalen,Trigger,Openingshoek,Zoekopdracht_LinkedIn
"Mr. & Mrs. Green","mrandmrs-green.com","Hengelo","Supplements · natuurlijk","€500K-3M","A","Tamara Elbaz","Algemeen directeur / CEO (sinds 2019; Hans Spee niet als bestuurder in KvK)","","Geverifieerd","company.info (KvK 75632551)","e-mail (info@), telefoon, chat","Meerdere reviews melden leveringen van >2 weken met niet-werkende Track & Trace en een klantenservice die daarbij per telefoon, e-mail en chat niet reageert.","Bij een merk dat zo op persoonlijke uitstraling drijft, valt het extra op als klanten twee weken op hun bestelling wachten zonder dat iemand van de klantenservice reageert.","site:linkedin.com/in ""Mr. and Mrs. Green"" Hengelo. Algemeen Directeur T. Elbaz uitgesloten"
"Green Fuel","greenfuel.shop","Beverwijk","Supplements · vegan sport","€500K-3M","A","Nick Admiraal","Mede-oprichter / bestuurder (2e oprichter Daan Korsten, lead)","","Geverifieerd","KvK/drimble (81164092) + eigen Instagram-post","formulier; geen zichtbaar e-mail/telefoon/chat/WhatsApp","De contactpagina biedt alleen een formulier, geen zichtbaar telefoonnummer, direct e-mailadres, chat of WhatsApp, opvallend schraal voor een D2C-sportvoedingswebshop.","Op jullie contactpagina staat alleen een formulier; voor een merk dat 'Fuel Your Passion' uitdraagt is dat een opvallend stille manier om klanten te woord te staan.","site:linkedin.com/in ""Green Fuel"" Beverwijk (operations OR customer OR e-commerce)"
"Oot Granola","oot.nl","Amsterdam","Food · granola/abonnement","€3-6M","A","Wisal El Mathari","Klantenservice / E-commerce","https://www.linkedin.com/in/wisal-el-mathari-787132143","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail, formulier, WhatsApp; geen chat/telefoon","Openstaande vacature E-commerce Manager (juli 2026) naast 4.700+ reviews; dezelfde rol raakt de klantenservice.","Jullie zoeken net iemand die de webshops in drie landen laat groeien, terwijl diezelfde persoon nu ook de klantvragen bij 4.700 reviews opvangt.","E-commerce Manager bezit klantbeleving/CS bij abonnementsmerk; huidige rol via LinkedIn bevestigen"
"Jimmy Joy","jimmyjoy.com","Amsterdam","Food · maaltijdvervangers","€5-8M","A","Daniel de Niet","Head of Customer Care","","Geverifieerd","eigen teampagina + naam in reviews 2025-2026","e-mail, formulier, live chat","Recente Trustpilot-reviews (mrt-apr 2026) melden bestellingen die wekenlang niet aankomen; het care-team vangt die 'where is my order'-golf op.","Op jullie teampagina staat dat Daniel vaker 'waar is mijn bestelling' hoort dan een moeder 'ik hou van je' zegt, en de reviews van dit voorjaar laten zien dat dat geen grap is.","Head of Customer Care = exacte beslisser voor overflow/uitbesteding; huidige rol verifiëren"
"De Pindakaaswinkel","depindakaaswinkel.nl","Amsterdam","Food · pindakaas","€3-6M","B","Frank Duivenvoorde","Head of Operations","","Geverifieerd","eigen teampagina + RocketReach","e-mail (per persoon); geen chat/WhatsApp zichtbaar","Op de eigen teampagina staat geen enkele 'klantenservice'-functie; klantvragen lopen via de Head of Operations en de office manager naast productie en meerdere winkels.","Op jullie teampagina zie ik makers, productie en operations, maar niemand die puur de klantvragen doet, dus die komen er waarschijnlijk bovenop bij jou.","Head of Operations (10+ jr) = beslisser voor CS-outsourcing; webshop-CS ontlasten zodat ops op groei focust"
"Boerschappen","boerschappen.nl","Breda","Food · maaltijdbox","€4-8M","A","Marlous Spaven","Head of Marketing & Customer Service","","Geverifieerd","EMAS 2025 sprekerspagina (openbaar)","site tijdelijk onbereikbaar (429)","Score 3,6 met 23% 1-ster; reageert op slechts ~25% van de negatieve reviews en pas binnen ~1 maand.","Jullie score staat op 3,6 en driekwart van de negatieve reviews blijft onbeantwoord, terwijl marketing en klantenservice bij één persoon liggen.","site:linkedin.com/in Boerschappen (customer service OR klantenservice)"
"Ekomenu","ekomenu.nl","Almere","Food · biologische maaltijdbox","€3-7M","A","Chris de Vries","Klantenservice","https://www.linkedin.com/in/chrisdvries/","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail, formulier; geen chat/telefoon/WhatsApp","Klachten draaien terugkerend om versheid, bezorgtiming en incomplete pakketten, terwijl klantcontact enkel via e-mail en formulier loopt.","Bij een verse maaltijdbox draait bijna elke klantvraag om timing en compleetheid, en die komen bij jullie allemaal via één mailadres binnen.","site:linkedin.com/in Ekomenu (klantenservice OR operations OR customer)"
"Pit&Pit","pit-pit.com","Tessenderlo (BE)","Food · natuurvoeding","€4-8M","A","Boris De Bruyn","Customer Care","","Geverifieerd","naam in Trustpilot-reviews + LinkedIn","e-mail (help@), formulier","In reviews wordt Boris bij naam genoemd omdat hij persoonlijk problemen oplost en leveringen versnelt, bij tienduizenden reviews over vijf landen.","Jullie vijf sterren houden jullie overeind doordat iemand als Boris elk probleem persoonlijk oplost, klanten noemen hem letterlijk bij naam.","site:linkedin.com/in Pit&Pit (customer service OR operations). NB deels BE-gebaseerd"
"Aard'g","aardg.nl","Alkmaar","Food · kombucha/abonnement","€1-3M","B","Max Rood","Mede-oprichter (doet zelf klantcontact)","","Geverifieerd","eigen supportpagina + LinkedIn","e-mail (info@), telefoon 9-17, Facebook Messenger; geen WhatsApp","Op de eigen supportpagina staat dat mede-oprichter Max persoonlijk bereikbaar is voor klantvragen van maandag tot vrijdag 9:00-17:00; er is geen apart klantenserviceteam.","Op jullie supportpagina staat dat jij, Max, zelf tussen negen en vijf de telefoon en de mail doet, naast alles wat er bij het opbouwen van een merk komt kijken.","site:linkedin.com/in Aard'g (operations OR customer). Zoek operationele rechterhand, niet de DGA"
"Bocca Coffee","bocca.nl","Amsterdam","Food · specialty koffie","€3-7M","B","Jeroen Bol","Operations Manager","","Geverifieerd","eigen about-pagina ('Jeroen - Operation manager'); achternaam via LinkedIn","e-mail (info@), formulier, telefoon roastery","Alle klantvragen lopen via één algemeen adres (info@bocca.nl), formulier en het roastery-telefoonnummer; geen apart CS-kanaal of -team zichtbaar.","Bij jullie komen webshopvragen en horecavragen op hetzelfde algemene adres binnen, terwijl dat één team is dat eigenlijk koffie moet branden en verkopen.","site:linkedin.com/in Bocca Coffee Amsterdam (operations OR customer service)"
"Funky Fat Foods","funkyfatfoods.com","Amsterdam","Food · keto chocolade","€1-4M","B","Louisa Mesquita Bakker","Founder (geen aparte CS-persoon publiek)","","Geverifieerd","eigen about-pagina","e-mail, live chat (ma-vr 9-18)","Biedt live chat als primair kanaal (ma-vr 9-18) terwijl het team klein is (founder + brand manager) en internationaal levert.","Jullie hebben live chat aanstaan van negen tot zes, maar het team eromheen is klein, dus die chat komt bij een handvol mensen terecht.","site:linkedin.com/in ""Funky Fat Foods"" Amsterdam (operations OR e-commerce OR customer)"
"Tea Bar","teabar.nl","Nederland","Food · losse thee","€1-3M","A","Britt Kramer","Klantenservice","","Geverifieerd","eigen FAQ koppelt naam aan CS-rol","e-mail (klantenservice@ t.a.v. Britt), formulier","In de eigen FAQ verwijst Tea Bar voor alle klantvragen naar één persoon en één mailadres (Britt Kramer), terwijl ze op Kiyoh ruim 4.000 reviews hebben.","In jullie FAQ staat bij elke klantvraag hetzelfde adres met Britt erbij, terwijl er ruim vierduizend reviews en meerdere winkels achter hangen.","site:linkedin.com/in ""Tea Bar"" thee (operations OR e-commerce OR customer) Nederland"
"BoxBites","boxbites.nl","Nederland","Food · snackbox","€500K-2M","B","Larissa Renée S.","Klantenservice / Operations","https://www.linkedin.com/in/larissa-ren%C3%A9e-s-84a89998","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail (info@), formulier, telefoon","Klantcontact via één centraal adres en telefoonnummer zonder aparte CS-functie, terwijl het abonnementsmodel doorlopende wijzig- en bezorgvragen oplevert.","Als familiebedrijf met abonnementen komen alle pauzeer-, wijzig- en bezorgvragen bij jullie op één centraal nummer binnen, naast het runnen van de operatie.","site:linkedin.com/in BoxBites (operations OR customer). Oprichters Tom/Mark uitgesloten"
"ByNouck Jewelry","bynouck.com","Haarlem","Accessoires · sieraden","€3-6M","B","Anouck Goudsmit","Founder / Owner (geen aparte online-CS-naam publiek)","","Geverifieerd","eigen about-pagina (correctie: Anouck, niet Nouck)","e-mail (info@), WhatsApp (belofte <1u); geen chat/telefoon/formulier","Stuurt klanten voor snel contact bewust naar WhatsApp (belofte binnen 1 uur) terwijl e-mail 24u mag duren; geen telefoon of formulier, bij ~2.170 reviews.","Jullie beloven op WhatsApp binnen een uur te reageren terwijl e-mail 24 uur mag duren; bij ruim tweeduizend reviews vraag ik me af wie dat uur-venster de hele dag bewaakt.","site:linkedin.com/in ""ByNouck"" (""customer service"" OR klantenservice OR operations)"
"Eline Rosina","elinerosina.com","Nederland","Accessoires · sieraden","€2-5M","B","Hanna Pranger","Founder & Creative Director (Eline Bons/wholesale blijft onbevestigd)","","Geverifieerd","eigen site + interview","e-mail (customerservice@, 48u), formulier, WhatsApp; geen chat/telefoon","Draait op een team van circa 8 medewerkers maar heeft al ~1.849 Trustpilot-reviews en een dedicated customerservice@-adres met 48u-belofte; CS-capaciteit schaalt niet mee met het volume.","Met een team van een man of acht en al bijna tweeduizend reviews vraag ik me af hoeveel van jullie dag opgaat aan klantvragen naast inkoop en wholesale.","site:linkedin.com/in ""Eline Rosina"" (customer OR operations OR e-commerce). Niet founder Hanna Pranger"
"ARLIZI","arlizi.com","Laren","Accessoires · sieraden","€1-3M","A","Liz Meijs","Klantenservice / eigenaar","https://www.linkedin.com/in/liz-meijs-7aba725/","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail (info@), formulier, telefoon; geen chat/WhatsApp","Volledig webshop-only, ontwerpt en verpakt in-house en biedt gratis maatwerk, maar er is geen enkele medewerker publiek; alle klantcontact loopt via één info-adres en telefoonnummer.","Jullie doen alles zelf, van ontwerp tot het gratis op maat maken van een ketting, en ik vermoed dat elke klantvraag ook op datzelfde bureau belandt.","site:linkedin.com/in ""ARLIZI"". Vermijd eigenaar/DGA"
"SILK Jewellery","silkjewellery.com","Nederland","Accessoires · sieraden","€2-5M","B","Maarten Smetsers","Mede-oprichter / CEO & Designer","","Geverifieerd","eigen 'Our Roots'-pagina","e-mail (info@/support@), formulier, telefoon, mogelijk Zendesk-chat","Draait CS via meerdere afdelings-e-mailadressen, een telefoonlijn met vaste uren en een Zendesk-chatwidget, en bedient meerdere landenshops (.nl en .de); de stroom is over veel kanalen en markten verspreid.","Jullie hebben aparte adressen voor support, sales en PR en draaien naast de Nederlandse ook een Duitse shop; hoe overzichtelijk is dat klantcontact nog?","site:linkedin.com/in ""SILK Jewellery"" (""customer service"" OR operations). Niet CEO Maarten Smetsers"
"Smaak Amsterdam","smaakamsterdam.com","Amsterdam","Accessoires · leren tassen","€2-5M","A","André Grundmann","Founder (Niels Wijbenga/brand manager onbevestigd)","","Geverifieerd","pers (Discover Benelux/FAJO) + eigen site","e-mail (support@), formulier, telefoon 9-16; geen chat/WhatsApp","Op Trustpilot staan slechts een handvol reviews en een zichtbare klacht over een foute levering (3 i.p.v. 4 tassen) met 'te laat om te klagen'; tegelijk staat er een vacature open voor e-commerce fulfilment.","Ik zag op Trustpilot een klant die maar drie van vier bestelde tassen kreeg en te horen kreeg dat het te laat was om te klagen; zulke berichten blijven lang staan bij een merk met weinig reviews.","site:linkedin.com/in ""Smaak Amsterdam"" (operations OR e-commerce OR customer). Niet founder Andre Grundmann"
"MYoMY","myomy.nl","Amsterdam","Accessoires · leren tassen","€3-7M","A","Marja Baas","Founder","","Geverifieerd","eigen site + pers","e-mail (info@), CS ma-do 9-17; rest onbekend door SSL-fout","De contact-/klantenservicepagina laadt met een verlopen SSL-certificaat, waardoor bezoekers een beveiligingswaarschuwing krijgen precies waar ze hulp zoeken; CS is bovendien maar vier dagen per week bereikbaar.","Jullie klantenservicepagina gaf bij mij een certificaatwaarschuwing, en dat is nou net de plek waar een twijfelende klant contact zoekt; zagen jullie dat al?","site:linkedin.com/in ""MYoMY"" (customer OR operations OR e-commerce)"
"O My Bag","omybagamsterdam.com","Amsterdam","Accessoires · leren tassen","€4-8M","B","Paulien Wesselink","Founder & CEO","","Geverifieerd","eigen jubileumbrief + FashionUnited","e-mail (customerservice@), Freshdesk-portal reparaties, telefoon; geen chat/WhatsApp","Leidt vragen en reparaties naar een apart Freshdesk-portal en heeft naast customerservice@ aparte adressen voor sales, pers en sustainability; met bijna 4.000 reviews is de stroom fors en over meerdere systemen verdeeld.","Jullie sturen klanten voor reparaties al naar een apart Freshdesk-portaal terwijl e-mail via een ander adres loopt; hoeveel handmatig schakelen zit daar tussenin?","site:linkedin.com/in ""O My Bag"" (""customer service"" OR e-commerce OR operations)"
"The Chesterfield Brand","chesterfieldbags.com","Nederland","Accessoires · leren tassen","€3-7M","B","Maikel Wiegertjes","Marketing & E-Commerce","","Geverifieerd","eigen teampagina + LinkedIn","Freshdesk-ticketformulier, telefoon; geen direct e-mail/chat/WhatsApp","Leidt alle klantvragen via een Freshdesk-ticketformulier zonder direct e-mailadres of chat, en heeft een aparte Returns-afdeling; retouren en tickets zijn een gestructureerde maar arbeidsintensieve stroom.","Jullie hebben zelfs een eigen retourenafdeling en sturen elke vraag door een Freshdesk-ticket; hoeveel van die tickets zijn steeds dezelfde retour- en levervragen?","site:linkedin.com/in ""Chesterfield Brand"" (customer OR operations OR e-commerce)"
"Berba","berba.nl","Nederland","Accessoires · leren tassen","€2-5M","A","Berry Kuckelkorn","Eigenaar (2e generatie, met echtgenote Olga)","","Geverifieerd","eigen historie-pagina + pers","e-mail (webshop@), formulier, telefoon 9-17; geen chat/WhatsApp","Familiebedrijf dat door Berry en Olga zelf wordt gerund; de webshop-klantenservice loopt via één adres en één telefoonnummer tijdens kantooruren, zonder chat of WhatsApp.","Jullie runnen Berba echt als familie, en dan vermoed ik dat de webshopvragen ook gewoon bij jullie zelf op de mat vallen tussen alles door.","site:linkedin.com/in ""Berba"" (customer OR operations OR e-commerce)"
"dR Amsterdam","dramsterdam.nl","Amsterdam","Accessoires · leren tassen","€2-5M","A","","Algemeen adres, geen contactpersoon","","Naam te vinden","Simon: geen beslisser vindbaar, algemeen adres","e-mail (sales@de-rooy.com), formulier, telefoon; geen chat/WhatsApp/eigen CS-adres","De klantenservice van de webshop loopt via het algemene sales@de-rooy.com-adres en telefoonnummer van het moederbedrijf; er is geen apart D2C-klantcontactkanaal.","Webshopvragen van dR Amsterdam komen binnen op het algemene sales-adres van De Rooy; hoe verhouden die consumentenvragen zich tot alle zakelijke post op datzelfde adres?","site:linkedin.com/in ""dR Amsterdam"" (customer OR operations OR e-commerce)"
"WoodWatch","woodwatch.com","Amsterdam","Accessoires · horloges","€2-5M","B","Kevin van der Veer, Daniel Salimian, Jeroen Westerbeek","Executive Directors / oprichters","","Geverifieerd","eigen imprint + pers (KvK 75672162)","e-mail (care@), live chat, WhatsApp, telefoon incl. weekend","Belooft klantcontact via live chat, WhatsApp én telefoon met ruime openingstijden (ook weekend), maar in de ~1.896 Trustpilot-reviews duiken juist klachten op over responstijden en het retourproces.","Jullie zijn via chat, WhatsApp en telefoon tot in het weekend bereikbaar, en juist daar zie ik in reviews de klacht dat een reactie soms uitblijft; die belofte over al die kanalen waarmaken is een klus.","site:linkedin.com/in ""WoodWatch"" (customer OR operations OR e-commerce)"
"Castelijn & Beerens","castelijnenbeerens.com","Waalwijk","Accessoires · lederwaren","€4-8M","B","Rick Dingenouts","E-commerce Manager (ex Manager Customer Service Medpets)","","Geverifieerd","RocketReach + ContactOut, twee bronnen","e-mail (serviceadres), formulier, mogelijk Zendesk; telefoon niet op servicepagina","Reviews roemen reacties 'binnen 3 minuten' op e-mail en gratis nazending van onderdelen; met een E-commerce Manager die zelf uit customer service komt is dat een bewuste maar arbeidsintensieve keuze.","Klanten schrijven dat jullie soms binnen drie minuten antwoorden; dat is knap, en tegelijk vraag ik me af wat dat vraagt van de mensen die het al die uren waarmaken.","site:linkedin.com/in ""Castelijn & Beerens"" (customer OR operations OR e-commerce). Vermijd familie-eigenaar"
"Bag2Bag","bag2bag.nl","Nederland","Accessoires · leren tassen","€1-3M","A","Daphne Cuypers","Mede-oprichter / eigenaar","https://www.linkedin.com/in/daphne-cuypers-04833b1a3","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail (info@), formulier, 2 persoonlijke 06-nummers; geen chat/WhatsApp","Wordt door twee oprichters gerund die elk seizoen zelf de collectie ontwerpen, en de webshop-klantenservice loopt via één info-adres en letterlijk twee persoonlijke 06-mobiele nummers.","Op jullie contactpagina staan twee 06-nummers, en ik vermoed dat die gewoon in jullie eigen broekzak zitten terwijl jullie de volgende collectie aan het ontwerpen zijn.","site:linkedin.com/in ""Bag2Bag"". Founders Heidi/Daphne uitsluiten"
"Nixnut","nixnut.nl","Breda","Kids · fashion","€1-3M","B","Lieveke Ligtenberg","Support & Backoffice","https://www.linkedin.com/in/lieveke-ligtenberg-b1a2b224/","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail (service@), formulier, chat, WhatsApp, telefoon","Klantcontact loopt via een enkele Support & Backoffice-medewerker naast winkel, recente pop-up (Ginnekenweg Breda) en wholesale; alle kanalen komen bij hetzelfde kleine team binnen.","Ik zag dat jullie klantcontact, de webshop, de nieuwe pop-up in Breda en wholesale eigenlijk allemaal via hetzelfde kleine support-team lopen.","Groeiende D2C + wholesale draait op 1 support/backoffice-persoon met beperkte kantoortijden"
"Phil & Phae","philandphae.com","Almere","Kids · organic kidswear","€1-2M","B","Barbara de Jonge","Oprichter/directeur (CS was dunne parttime rol)","","Geverifieerd","KvK Anothermay B.V. + interview","e-mail (service@), formulier; geen chat/WhatsApp/consumenten-telefoon","Klantenservice draait op één service@-mailbox zonder chat, WhatsApp of consumenten-telefoon; support was slechts een parttime 'Allround Product Support'-rol die nu als vervuld/gesloten staat.","Ik zag dat jullie klantcontact via één service-mailbox loopt en dat support bij jullie eigenlijk een parttime rol naast design was.","site:linkedin.com/in (""Phil&Phae"" OR ""PHAE"") (operations OR ""customer service"" OR fulfillment)"
"Minis Only","minisonly.nl","Horst","Kids · streetwear","€1-3M","B","Mieke Jakobs","Eigenaar / oprichter","","Geverifieerd","eigen about-pagina","e-mail, formulier, chat, WhatsApp, telefoon","Bij een uitstekende WebwinkelKeur-score (9,1 over 2.797) staan meerdere recente reviews waarin klanten melden dat er na herhaald bellen, mailen en appen geen reactie komt.","Jullie reviewscore is bijna vlekkeloos, maar juist daardoor vallen de recente reacties op waarin klanten schrijven dat ze na meerdere keren bellen, mailen en appen niets terughoorden.","linkedin.com/company/minis-only People-tab; ""Minis Only"" Horst (operations OR klantenservice)"
"A Little Lovely Company","alittlelovelycompany.com","Groningen","Kids · lifestyle/decor","€2-6M","B","Judith de Ruijter","Mede-oprichter / eigenaar (geen aparte CS-naam publiek)","","Geverifieerd","Entrepreneur Magazine + pers","e-mail (service@), telefoon ma-vr 9-16; geen chat/WhatsApp/formulier","Gepolariseerd Trustpilot-beeld (~4,2 met 17% 1-ster) terwijl negatieve reviews onbeantwoord blijven, en contact loopt alleen via e-mail en telefoon met beperkte uren.","Voor een merk dat in tientallen landen op de plank ligt, valt op hoe stil het blijft op jullie Trustpilot: kritische reviews blijven onbeantwoord en klanten bereiken jullie eigenlijk alleen op werkdagen tot 16:00.","site:linkedin.com/in ""A Little Lovely Company"" (operations OR ""customer service"" OR logistics)"
"Studio Ditte","studioditte.nl","Breda","Kids · interieur/decor","€1-4M","B","Marieke Dirks","Mede-oprichter (1 van 3: Dirks, Heesbeen, van Zwam)","","Geverifieerd","eigen 'ons verhaal'-pagina","e-mail (mail@), formulier, 3 persoonlijke mobiels; geen chat/WhatsApp","Op de contactpagina komen klantvragen binnen via de persoonlijke mobiele nummers van de drie oprichters plus een algemeen adres; fulfilment is wel uitbesteed, klantcontact niet.","Het viel me op dat jullie het inpakken en verzenden allang hebben uitbesteed, maar dat klantvragen nog altijd op jullie eigen mobiele nummers binnenkomen.","site:linkedin.com/in ""Studio Ditte"" (operations OR e-commerce OR klantenservice)"
"Noubased","noubased.com","Nederland","Maternity · voedingskleding","€500K-2M","B","Anita van Luijk-Groenendijk","Oprichter / eigenaar","","Geverifieerd","eigen over-pagina + LinkedIn","e-mail (info@), formulier, mobiel oprichter; geen chat/WhatsApp","De contactpagina belooft 'zo snel mogelijk' antwoord, terwijl al het klantcontact via één algemeen adres, een formulier en het mobiele nummer van de oprichter loopt, voor een merk dat tot in British Vogue wordt genoemd.","Ik zag dat jullie tot in British Vogue worden genoemd, terwijl elke klantvraag nog op een enkel adres bij jou persoonlijk binnenkomt.","site:linkedin.com/in ""Noubased"" (operations OR customer)"
"Lodger","lodger.com","Woerden","Baby · mobiliteit/verzorging","€3-7M","B","Tristan Gerding","Klantenservice / Operations","https://www.linkedin.com/in/tristan-gerding-07ba98180/","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail (customerservice@), formulier, telefoon 9-17; geen chat/WhatsApp","Terugkerende reviewkritiek op het betaalde retourbeleid, terwijl concurrenten gratis retour bieden; klanten noemen dit expliciet als reden voor teleurstelling.","Ik zag dat een paar van jullie reviews niet over de producten gingen maar over het retour- en leverproces, en vroeg me af wie daar nu eigenaar van is.","site:linkedin.com/in ""Lodger"" Woerden (""customer service"" OR ""customer success"" OR operations)"
"Little Indians","little-indians.nl","Rotterdam","Baby/kids · fashion","€1-5M","B","Kelly (Backoffice B2C)","Backoffice B2C (niet-oprichter, op teampagina)","","Geverifieerd","eigen teampagina","e-mail (service@), formulier; geen chat/WhatsApp/telefoon","De enige publieke reviews (score 3,3/10) klagen specifiek dat e-mails aan de klantenservice onbeantwoord blijven en pakketkwesties niet worden opgelost.","Ik las klantreacties dat mails aan service@little-indians.nl onbeantwoord bleven, zonde voor een merk waar jullie zoveel zorg in de collectie steken.","site:linkedin.com/in ""Little Indians"" Rotterdam (operations OR logistics OR ""customer service"")"
"Mies & Co","miesenco.nl","Rijssen","Baby · textiel/verzorging","€500K-2M","B","","Algemeen adres, geen contactpersoon","","Naam te vinden","Simon: geen beslisser vindbaar, algemeen adres","e-mail (info@), formulier, telefoon 06; geen chat/WhatsApp","Klantcontact loopt uitsluitend via e-mail, formulier en een 06-mobielnummer, zonder live chat of WhatsApp, terwijl het merk zich als premium babylifestyle positioneert.","Jullie positioneren Mies & Co echt als premium babymerk, maar het klantcontact hangt nu volledig op één mailbox en een 06-nummer.","site:linkedin.com/in (""Mies & Co"" OR miesenco) (operations OR klantenservice) Rijssen"
"Love2Wait","love2wait.nl","Dronten","Maternity · positiekleding","€2-6M","B","Mark de Jong","General Manager Brands2Love (eigenaar/oprichter: Wendy Walet)","","Geverifieerd","FashionUnited (openbaar)","e-mail (shop@), formulier, telefoon ma-vr 10-16; geen chat/WhatsApp","De klantenservice is telefonisch alleen bereikbaar op werkdagen 10-16 en biedt geen chat of WhatsApp, terwijl de doelgroep (zwangere klanten) juist snelle, laagdrempelige antwoorden verwacht.","Voor een zwangerschapsmerk valt me op dat jullie klantenservice maar zes uur per dag telefonisch bereikbaar is en verder alleen via mail loopt.","site:linkedin.com/in Love2Wait OR Brands2Love (customer service OR e-commerce). GM Mark de Jong = niet ideale CS-rol"
"ELLIE Studio","ellie-studio.nl","Nederland","Kids · interieur/decor","€500K-2M","B","Lisanne Klep","Eigenares (1 van 2: Lisanne + Evy)","","Geverifieerd","eigen over-pagina + KvK-plaats Rijsbergen","e-mail (info@), formulier, chatwidget; geen telefoon/WhatsApp","ELLIE wordt volgens de eigen over-pagina volledig gerund door twee oprichtsters die zelf ontwerpen, printen, snijden en inpakken; klantcontact loopt via mail, formulier en chat, zonder telefoon of apart CS-team.","Jullie doen bij ELLIE echt alles met z'n tweeën, van ontwerp tot inpakken, en dan komt de klantenservice er via mail en chat ook nog eens bovenop.","site:linkedin.com/in ""ELLIE Studio"" (operations OR klantenservice OR ecommerce). Mogelijk nog geen aparte rol"
"DogSuppy","dogsuppy.com","Amsterdam","Pets · supplementen","€2-6M","B","Yentel van Hemert","Klantenservice","https://www.linkedin.com/in/yentel-van-hemert-9731aa161","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail, formulier, WhatsApp; geen chat/telefoon","Belooft CS 7 dagen/week 07:00-22:30, antwoord binnen 1-2u, zonder live chat; alles via e-mail en WhatsApp.","Jullie beloven zeven dagen per week snel antwoord van vroeg tot laat; ik vroeg me af hoeveel mensen dat ritme dragen.","Telefoon publiek uit 'wegens drukte'; 1-2u responsbelofte 7 dgn/wk moeilijk vol te houden bij verdere expansie. NB één bron noemt ook 'Finance/backoffice', herbevestigen"
"Maats Cycling Culture","maats.cc","Amsterdam","Cycling · wielerkleding","€3-6M","A","Rob Schoof & Joost Hiemstra","Oprichters/eigenaren (mede-eigenaar Janco Nagelhout)","","Geverifieerd","duic.nl-pers + eigen about-pagina","e-mail, formulier, chat, telefoon","Beantwoordt op Trustpilot slechts 14% van de negatieve reviews; een klant meldde een onbeantwoorde e-mail, terwijl het merk op persoonlijke service leunt.","In de winkel voelt jullie service persoonlijk, maar online blijven de meeste negatieve reviews onbeantwoord.","CS-volume (orders, retouren, maatvragen) over webshop + 3 winkels komt samen op team gericht op groei/events"
"Dog with a Mission","dogwithamission.com","Bergen (NH)","Pets · design accessoires","€2-6M","B","Kim Koopman & Eugenie Verbiest","Mede-oprichters / eigenaren","","Geverifieerd","eigen about + Flessenpost Alkmaar","e-mail, formulier, chat, telefoon","Openstaande vacature Customer Service (3 dagen/week, Alkmaar) terwijl de servicedesk nu alleen ma t/m do 9:00-17:00 bereikbaar is.","Jullie zoeken een extra klantenservicemedewerker terwijl de desk nu vier dagen per week open is; dat lijkt lastig plannen rond pieken.","site:linkedin.com/in ""Dog with a Mission"" (customer service OR klantenservice OR operations). Niet co-owners"
"Rogelli","rogelli.com","Sint Willebrord","Cycling · wielerkleding","€5-8M","B","Melvin Wagtmans","CEO / mede-eigenaar (Michel Struijs is marketing, niet CS)","","Geverifieerd","NieuwsFiets-pers","e-mail (customerservice@), formulier, telefoon","Klanten melden stelselmatig dat de maatvoering kleiner uitvalt, wat een voorspelbare stroom maat-, ruil- en retourvragen oplevert.","In jullie reviews komt telkens terug dat de maat klein uitvalt; dat levert de servicedesk veel ruil- en maatvragen op.","site:linkedin.com/in ""Rogelli"" (""customer service"" OR ""e-commerce"" OR operations). Vermijd eigenaar Wagtmans"
"Q1905","q1905.com","Strijen","Sport · tennis/padel","€5-8M","A","R. van Trigt","Algemeen Directeur (Ferrini B.V.)","","Geverifieerd","Drimble handelsregister (KvK 24321031)","e-mail (service@), formulier, telefoon","Op Kiyoh beantwoordt Q1905 bijna elke review persoonlijk (8,7 over 11.734), maar op het onafhankelijke Trustpilot melden klanten juist dat berichten via app én e-mail onbeantwoord blijven.","Op jullie reviewpagina beantwoorden jullie bijna elke reactie persoonlijk, maar op Trustpilot lees ik van klanten die na meerdere app- en mailberichten geen antwoord kregen.","site:linkedin.com/in (""Ferrini"" OR ""Q1905"") (""customer service"" OR ""e-commerce manager""). Lage Trustpilot = overbelast team"
"Urban Goddess","urban-goddess.com","Amsterdam","Sport · yoga/activewear","€2-5M","A","Marlene Smits","Oprichter / eigenaar / designer (Blissworkz BV; geen aparte CS-naam)","","Geverifieerd","eigen site 'goddess of the month'","e-mail (hello@), formulier, chat, telefoon","Blissworkz/Urban Goddess werft herhaaldelijk drietalige Customer Happiness-medewerkers voor meerdere merken, terwijl de enige onafhankelijke Trustpilot-review een onbeantwoord retourprobleem beschrijft.","Jullie zoeken telkens weer een Customer Happiness-medewerker voor drie talen en meerdere shops, en tegelijk zie ik online één klant die na een verkeerd artikel op antwoord blijft wachten.","site:linkedin.com/in (""Urban Goddess"" OR Blissworkz) (""customer service"" OR operations). Niet founder Marlene Smits"
