bedrijf,domein,faseA_rang,vertical,bevinding,mechanisme,implicatie_als_vraag,koopmoment,bevinding_bron,bevinding_gecheckt,bronregel,cs_tooling,producten,markten,teampagina,vacaturepagina,linkedin,kandidaat_namen,status
Werk aan de Muur,werkaandemuur.nl,64,lifestyle,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina werkaandemuur.nl,17 augustus 2026,"Bron: klantenservicepagina werkaandemuur.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Grutto,grutto.com,65,food-abonnement,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina grutto.com,17 augustus 2026,"Bron: klantenservicepagina grutto.com, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Power Supplements,powersupplements.nl,66,supplementen,De klantenservice staat op de site als bereikbaar: ma-vr 10:00-17:00.,"Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst.",Ik was benieuwd wie er op dit moment op het klantcontact zit.,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina powersupplements.nl,17 augustus 2026,"Bron: klantenservicepagina powersupplements.nl, gecontroleerd 17 augustus 2026",,0,4,,,,,geverifieerd-bevinding
Somnox,somnox.com,67,health-tech,De klantenservice staat op de site als bereikbaar: Maandag tot vrijdag bereikbaar tussen 10:00 tot 12:00. Op de servicepagina staat een toegezegde reactietijd: binnen 48 uur.,"Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 48 uur in het hoogseizoen nog gehaald wordt.,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina somnox.com,17 augustus 2026,"Bron: klantenservicepagina somnox.com, gecontroleerd 17 augustus 2026",intercom|whatsapp-widget,0,2,https://somnox.com/team-somnox/,,https://www.linkedin.com/company/somnox,Julian Jagtenberg (founder),geverifieerd-bevinding
Fotofabriek,fotofabriek.nl,68,personalisatie-print,Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 24 uur in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina fotofabriek.nl,17 augustus 2026,"Bron: klantenservicepagina fotofabriek.nl, gecontroleerd 17 augustus 2026",,0,0,https://www.fotofabriek.nl/over-ons/,https://werkenbijfotofabriek.nl/,https://www.linkedin.com/company/fotofabriek,,geverifieerd-bevinding
CanvasCompany,canvascompany.nl,70,personalisatie-print,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail. Op de servicepagina staat een toegezegde reactietijd: Binnen 48 uur.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina canvascompany.nl,17 augustus 2026,"Bron: klantenservicepagina canvascompany.nl, gecontroleerd 17 augustus 2026",zendesk|hubspot-chat,0,1,,,,,geverifieerd-bevinding
Matt Sleeps,mattsleeps.com,71,slapen,"Matt Sleeps plaatste op 23 juli 2026 een vacature voor een senior customer support agent en op 6 juli 2026 een voor een customer service medewerker. Beide staan op 17 augustus 2026 nog open. In de eerste staat: ""Matt Sleeps zoekt een senior customer support agent die onze customer support afdeling in de volgende groeifase ondersteunt."" In de tweede: ""Het Matt team bestaat uit 15 enthousiaste en ondernemende droom-najagers.""","Ze lossen een volumeprobleem op met mensen. In de senior-vacature staat als taak het bewaken van inbox management en werkverdeling, het binnen korte doorlooptijden behandelen van reviews op Trustpilot, Google en de eigen site, en het signaleren van structurele problemen. Dat is de beschrijving van een desk die vol zit. Daar bovenop ligt 120 dagen gratis proefslapen, wat elke klant vier maanden lang in het contactkanaal houdt.","Ik was benieuwd of die twee vacatures al zijn ingevuld, en wat er in de tussentijd met de doorlooptijden gebeurt.",Het volume groeit sneller dan de bezetting,"matt.recruitee.com, vacatures van 23 juli en 6 juli 2026",17 augustus 2026,"Bron: vacaturepagina matt.recruitee.com, gecontroleerd 17 augustus 2026",intercom,0,0,,,,,geverifieerd-trigger
Just Franky,justfranky.com,72,personalisatie-sieraden,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina justfranky.com,17 augustus 2026,"Bron: klantenservicepagina justfranky.com, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Names4ever,names4ever.nl,73,personalisatie-sieraden,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina names4ever.nl,17 augustus 2026,"Bron: klantenservicepagina names4ever.nl, gecontroleerd 17 augustus 2026",,0,2,,,,,geverifieerd-bevinding
Sticky Lemon,stickylemon.nl,76,tassen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina stickylemon.nl,17 augustus 2026,"Bron: klantenservicepagina stickylemon.nl, gecontroleerd 17 augustus 2026",ai-chat,465,0,https://www.stickylemon.nl/pages/about,,,,geverifieerd-bevinding
LouLou Essentiels,loulouessentiels.nl,79,tassen,"De klantenservice staat op de site als bereikbaar: maandag t/m vrijdag 09:00 - 17:00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina loulouessentiels.nl,17 augustus 2026,"Bron: klantenservicepagina loulouessentiels.nl, gecontroleerd 17 augustus 2026",ai-chat,184,0,,,,,geverifieerd-bevinding
Casimoda,casimoda.nl,80,elektronica-accessoires,"De klantenservice is zeven dagen per week bereikbaar, bij een assortiment van meer dan 10.000 telefoonhoesjes en achteraf betalen als standaard.","Zeven dagen open zijn is een keuze die iemand elke dag moet invullen, en achteraf betalen brengt daar zijn eigen stroom betaalvragen bovenop.",Ik was benieuwd hoe het weekend nu bemenst is.,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina casimoda.nl,17 augustus 2026,"Bron: klantenservicepagina casimoda.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Dogs Companion,dogscompanion.nl,82,huisdier,"Het bedrijf draait Zendesk bij een assortiment van losse hoezen en vullingen in verschillende maten, als familiebedrijf sinds 1994.","Losse hoezen en vullingen in maten leveren per bestelling maatvragen op, en Zendesk staat er omdat die vragen er zijn.",Ik was benieuwd hoeveel van de vragen over maten en vullingen gaan.,Het volume groeit sneller dan de bezetting,klantenservicepagina dogscompanion.nl,17 augustus 2026,"Bron: klantenservicepagina dogscompanion.nl, gecontroleerd 17 augustus 2026",zendesk,0,0,https://www.dogscompanion.com/en/service/about/,,,,geverifieerd-bevinding
Fitchef,fitchef.nl,83,food-abonnement,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina fitchef.nl,17 augustus 2026,"Bron: klantenservicepagina fitchef.nl, gecontroleerd 17 augustus 2026",,0,0,https://fitchef.nl/over-ons,,https://www.linkedin.com/company/fitchefbv,,geverifieerd-bevinding
Greve Shoes,greve.nl,84,schoenen,"De klantenservice staat op de site als bereikbaar: maandag t/m vrijdag van 09:00 tot 16:00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina greve.nl,17 augustus 2026,"Bron: klantenservicepagina greve.nl, gecontroleerd 17 augustus 2026",,282,0,https://www.greve.nl/pages/over-ons,,https://www.linkedin.com/company/greve-schoenen,,geverifieerd-bevinding
Natural Heroes,naturalheroes.nl,85,supplementen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina naturalheroes.nl,17 augustus 2026,"Bron: klantenservicepagina naturalheroes.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Wolky,wolky.com,86,schoenen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina wolky.com,17 augustus 2026,"Bron: klantenservicepagina wolky.com, gecontroleerd 17 augustus 2026",,0,5,https://www.wolky.com/about-wolky/,,,,geverifieerd-bevinding
Circle of Trust,circleoftrust.nl,90,fashion-dames,Op de servicepagina staat een toegezegde reactietijd: binnen 1 werkdag.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 1 werkdag in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina circleoftrust.nl,17 augustus 2026,"Bron: klantenservicepagina circleoftrust.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Costes Fashion,costesfashion.com,92,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina costesfashion.com,17 augustus 2026,"Bron: klantenservicepagina costesfashion.com, gecontroleerd 17 augustus 2026",,0,2,,,https://nl.linkedin.com/company/costes,,geverifieerd-bevinding
Blackstone Shoes,blackstoneshoes.com,93,schoenen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina blackstoneshoes.com,17 augustus 2026,"Bron: klantenservicepagina blackstoneshoes.com, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Xsensible,xsensible.com,94,schoenen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina xsensible.com,17 augustus 2026,"Bron: klantenservicepagina xsensible.com, gecontroleerd 17 augustus 2026",,0,0,https://www.xsensible.com/over-ons,https://www.xsensible.com/vacatures,https://www.linkedin.com/company/xsensibleshoes,Thomas Krol (manager),geverifieerd-bevinding
Red-Rag,red-rag.nl,95,kinderschoenen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina red-rag.nl,17 augustus 2026,"Bron: klantenservicepagina red-rag.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Beaumont Amsterdam,beaumont.nl,97,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina beaumont.nl,17 augustus 2026,"Bron: klantenservicepagina beaumont.nl, gecontroleerd 17 augustus 2026",,0,0,https://www.beaumontmaastricht.com/verhaal/,,,,geverifieerd-bevinding
Fifth House,fifthhouse.nl,99,fashion-dames,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina fifthhouse.nl,17 augustus 2026,"Bron: klantenservicepagina fifthhouse.nl, gecontroleerd 17 augustus 2026",,0,2,,https://www.fifthhouse.nl/informatie/vacatures/,,,geverifieerd-bevinding
Or Coffee,orcoffee.be,101,food-be,De site voert 71 taal- en marktvarianten.,"Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.",Ik was benieuwd hoe jullie 71 markten nu over de dag verdeeld zijn.,"Er komt een merk, land of kanaal bij",klantenservicepagina orcoffee.be,17 augustus 2026,"Bron: klantenservicepagina orcoffee.be, gecontroleerd 17 augustus 2026",gorgias,371,71,,,,,geverifieerd-bevinding
Tuinmaximaal,tuinmaximaal.nl,102,maatwerk-tuin,De klantenservice is bereikbaar van maandag tot en met vrijdag van 08:00 tot 21:00. Klanten melden op Trustpilot dat het bedrijf na aankoop moeilijk te bereiken is.,"Bij maatwerk komt het meeste contact na de koop, want dan pas blijkt of de maten en de montage kloppen.",Ik was benieuwd hoeveel van het contact bij jullie na de levering ontstaat.,Het volume groeit sneller dan de bezetting,klantenservicepagina tuinmaximaal.nl en Trustpilot,17 augustus 2026,"Bron: klantenservicepagina tuinmaximaal.nl en Trustpilot, gecontroleerd 17 augustus 2026",whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Metis Supplements,metissupplements.com,103,supplementen-be,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina metissupplements.com,17 augustus 2026,"Bron: klantenservicepagina metissupplements.com, gecontroleerd 17 augustus 2026",gorgias,11,0,,,,,geverifieerd-bevinding
PersonalSurprise,personalsurprise.nl,104,personalisatie-cadeau,Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 24 uur in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina personalsurprise.nl,17 augustus 2026,"Bron: klantenservicepagina personalsurprise.nl, gecontroleerd 17 augustus 2026",helpscout,0,5,,,,,geverifieerd-bevinding
Namens Mij,namensmij.nl,105,personalisatie-cadeau,"De klantenservice staat op de site als bereikbaar: Maandag, dinsdag en donderdag : 09:00 tot 14:30. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail. Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur.","Een desk die donderdag sluit vangt de vrijdag- en weekendorders pas maandag op, en dat is precies wanneer consumenten bestellen. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe de maandagochtend eruitziet na een weekend waarin niemand meekijkt.,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina namensmij.nl,17 augustus 2026,"Bron: klantenservicepagina namensmij.nl, gecontroleerd 17 augustus 2026",tidio,0,2,,,,,geverifieerd-bevinding
Foto op Hout,fotoophout.nl,106,personalisatie-print,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail. Op de servicepagina staat een toegezegde reactietijd: Binnen 24 uur.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina fotoophout.nl,17 augustus 2026,"Bron: klantenservicepagina fotoophout.nl, gecontroleerd 17 augustus 2026",zendesk|hubspot-chat,0,1,,,,,geverifieerd-bevinding
MaakjeCadeau,maakjecadeau.nl,107,personalisatie-cadeau,Op de servicepagina staat een toegezegde reactietijd: binnen 1 werkdag.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 1 werkdag in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina maakjecadeau.nl,17 augustus 2026,"Bron: klantenservicepagina maakjecadeau.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Cadeaumakers,cadeaumakers.nl,108,personalisatie-cadeau,"De klantenservice staat op de site als bereikbaar: Maandag tot Vrijdag: 8:30 tot 17:00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina cadeaumakers.nl,17 augustus 2026,"Bron: klantenservicepagina cadeaumakers.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Naamkado,naamkado.nl,109,personalisatie-cadeau,"Telefoon en WhatsApp staan allebei open, bij een assortiment dat volledig uit gepersonaliseerde artikelen bestaat.","Bij personalisatie moet elke order kloppen voordat hij de productie in gaat, dus elke twijfel over spelling of plaatsing wordt een bericht.",Ik was benieuwd hoeveel berichten er per order over de personalisatie zelf gaan.,Het volume groeit sneller dan de bezetting,contactpagina naamkado.nl,17 augustus 2026,"Bron: contactpagina naamkado.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Bedrukken nl,bedrukken.nl,110,personalisatie-print,"De klantenservice staat op de site als bereikbaar: Maandag 09.30 - 17.00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina bedrukken.nl,17 augustus 2026,"Bron: klantenservicepagina bedrukken.nl, gecontroleerd 17 augustus 2026",tawk|whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Slaapkamerweb,slaapkamerweb.nl,111,slapen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina slaapkamerweb.nl,17 augustus 2026,"Bron: klantenservicepagina slaapkamerweb.nl, gecontroleerd 17 augustus 2026",trengo|whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Rebottled,rebottled.nl,112,lifestyle,De site voert 15 taal- en marktvarianten.,"Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.",Ik was benieuwd hoe jullie 15 markten nu over de dag verdeeld zijn.,"Er komt een merk, land of kanaal bij",klantenservicepagina rebottled.nl,17 augustus 2026,"Bron: klantenservicepagina rebottled.nl, gecontroleerd 17 augustus 2026",ai-chat,43,15,,,,,geverifieerd-bevinding
Confirm Clothing,confirmclothing.com,113,fashion-streetwear,"De klantenservice staat op de site als bereikbaar: maandag tot en met vrijdag tussen 09:00 en 17:00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina confirmclothing.com,17 augustus 2026,"Bron: klantenservicepagina confirmclothing.com, gecontroleerd 17 augustus 2026",,57,3,,,,,geverifieerd-bevinding
Bijzonder Mooi,bijzondermooi.nl,114,sieraden,De productfeed telt 785 artikelen.,"Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.",Ik was benieuwd wie er op dit moment op het klantcontact zit.,Het volume groeit sneller dan de bezetting,klantenservicepagina bijzondermooi.nl,17 augustus 2026,"Bron: klantenservicepagina bijzondermooi.nl, gecontroleerd 17 augustus 2026",,785,3,,,,,geverifieerd-bevinding
Little Thingz,littlethingz.be,115,speelgoed-be,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. De site voert 931 taal- en marktvarianten. De productfeed telt 3000 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina littlethingz.be,17 augustus 2026,"Bron: klantenservicepagina littlethingz.be, gecontroleerd 17 augustus 2026",,3000,931,,,,,geverifieerd-bevinding
Vitalitas,vitalitas.nl,116,gezondheid,"Het bedrijf draait een chatwidget naast WhatsApp en telefoon, met een Trustpilot-pagina en een assortiment gezondheidsproducten.",Gezondheidsproducten roepen inhoudelijke vragen op die niemand met een standaardantwoord kan afdoen.,Ik was benieuwd wie die inhoudelijke vragen nu beantwoordt.,Het team is klein en klantcontact wordt erbij gedaan,klantenservicepagina vitalitas.nl,17 augustus 2026,"Bron: klantenservicepagina vitalitas.nl, gecontroleerd 17 augustus 2026",chatway|whatsapp-widget,0,0,,,,,geverifieerd-bevinding
Kraamcadeau,kraamcadeau.nl,117,baby,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina kraamcadeau.nl,17 augustus 2026,"Bron: klantenservicepagina kraamcadeau.nl, gecontroleerd 17 augustus 2026",trengo,0,0,,,,,geverifieerd-bevinding
Silvery,silvery.nl,118,sieraden,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina silvery.nl,17 augustus 2026,"Bron: klantenservicepagina silvery.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,0,0,,,,,geverifieerd-bevinding
